Harbor Trust - Business Checking ****4471
Westbrook Plumbing LLC
Statement period 08/01/2026 - 08/31/2026
Beginning balance,"$43,666.33"

Posted Date,Description,Check Number,Debit,Credit,Balance
08/03/2026,DEPOSIT,,,"3,993.74","47,660.07"
08/03/2026,CHECK 5284,5284,"2,039.29",,"45,620.78"
08/04/2026,REMOTE DEPOSIT,,,"1,738.88","47,359.66"
08/05/2026,CHECK 5302,5302,"3,166.90",,"44,192.76"
08/05/2026,CHECK 5305,5305,"5,293.00",,"38,899.76"
08/05/2026,HARBOR TRUST VISA AUTOPAY,,"5,839.89",,"33,059.87"
08/06/2026,CHECK 5303,5303,"2,846.09",,"30,213.78"
08/07/2026,CHECK 5301,5301,"1,933.56",,"28,280.22"
08/08/2026,MOBILE DEPOSIT,,,"7,913.25","36,193.47"
08/08/2026,REMOTE DEPOSIT,,,"1,045.80","37,239.27"
08/08/2026,CHECK 5306,5306,"1,995.85",,"35,243.42"
08/11/2026,CHECK 5296,5296,"1,349.94",,"33,893.48"
08/12/2026,CHECK 5308,5308,"3,587.99",,"30,305.49"
08/12/2026,CHECK 5309,5309,"3,160.58",,"27,144.91"
08/13/2026,CITY OF TACOMA UTIL AUTOPAY,,607.31,,"26,537.60"
08/14/2026,REMOTE DEPOSIT,,,"3,559.69","30,097.29"
08/14/2026,CHECK 5307,5307,"2,885.85",,"27,211.44"
08/14/2026,GUSTO PAYROLL 081426,,"17,393.62",,"9,817.82"
08/16/2026,CHECK 5310,5310,"2,181.64",,"7,636.18"
08/18/2026,CHECK 5311,5311,"3,874.51",,"3,761.67"
08/19/2026,DEPOSIT,,,"5,215.66","8,977.33"
08/20/2026,DEPOSIT,,,"4,853.75","13,831.08"
08/20/2026,CHECK 5313,5313,"1,273.44",,"12,557.64"
08/21/2026,REMOTE DEPOSIT,,,"5,722.33","18,279.97"
08/22/2026,DEPOSIT,,,"5,918.99","24,198.96"
08/22/2026,DEPOSIT,,,"4,906.39","29,105.35"
08/24/2026,CHECK 5316,5316,"2,407.98",,"26,697.37"
08/25/2026,MOBILE DEPOSIT,,,"1,370.76","28,068.13"
08/25/2026,MOBILE DEPOSIT,,,"8,044.43","36,112.56"
08/26/2026,RETURNED ITEM - NSF ELLINGTON BAKERIES,,"2,320.32",,"33,792.24"
08/26/2026,RETURNED ITEM FEE,,15.00,,"33,777.24"
08/27/2026,REMOTE DEPOSIT,,,"1,674.93","35,452.17"
08/27/2026,ALLY COMMERCIAL LOAN PMT,,816.91,,"34,635.26"
08/27/2026,CHECK 5317,5317,484.54,,"34,150.72"
08/27/2026,STATE FARM RO 27 INS PREM,,"1,064.10",,"33,086.62"
08/28/2026,REMOTE DEPOSIT,,,"1,530.32","34,616.94"
08/28/2026,CHECK 5319,5319,"2,304.45",,"32,312.49"
08/28/2026,CHECK 5320,5320,852.11,,"31,460.38"
08/28/2026,GUSTO PAYROLL 082826,,"14,651.12",,"16,809.26"
08/29/2026,CHECK 5322,5322,399.76,,"16,409.50"
08/31/2026,DEPOSIT,,,"8,481.59","24,891.09"
08/31/2026,INTEREST PAID,,,7.29,"24,898.38"
08/31/2026,MONTHLY MAINTENANCE FEE,,25.00,,"24,873.38"
,Ending balance,,,,"24,873.38"
