Sales by territory
Range 03/27/2026 - 04/30/2026
Doc No,Doc Date,Territory,Customer,Amount
SO-40110,2026-03-27,Mountain,Wren & Sparrow Bookshop,"$2,144.26"
SO-40107,2026-03-27,Mountain,Quill & Ink Print Shop,"$2,926.19"
SO-40037,27-Mar-2026,Gulf,Quarry Road Nursery,608.24 USD
SO-40031,28-Mar-2026,Gulf,Yellowtail Seafood,"5,381.59 USD"
SO-40092,2026-03-28,Mountain,Wren & Sparrow Bookshop,"$4,484.01"
SO-40023,2026-03-28,Atlantic,Riverbend Physio,"$5,587.47"
SO-40072,03/28/2026,Great Lakes,Quill & Ink Print Shop,"7,242.31"
SO-40036,03/28/2026,Gulf,Foxglove Interiors,"7,410.14"
SO-40098,2026-03-29,Mountain,Tamarack Brewing,"$2,503.13"
SO-40060,03/29/2026,Great Lakes,Everline Insurance,"5,571.71"
SO-40016,29-Mar-2026,Atlantic,Ivy Lane Florist,"7,834.23 USD"
SO-40019,29-Mar-2026,Atlantic,Wren & Sparrow Bookshop,"7,209.44 USD"
SO-40082,29-Mar-2026,Great Lakes,Cedar & Pine Landscaping,"1,988.75 USD"
SO-40121,29-Mar-2026,Pacific,Thistle & Thread Alterations,"8,493.47 USD"
SO-40116,2026-03-30,Pacific,Driftwood Studio,"$8,989.65"
SO-40079,30-Mar-2026,Great Lakes,Harbor Light Marine,"4,384.99 USD"
SO-40088,30-Mar-2026,Mountain,Silverline Logistics,"6,771.18 USD"
SO-40066,03/30/2026,Great Lakes,Nightjar Coffee Roasters,"3,373.39"
SO-40006,03/31/2026,Atlantic,Granite Peak Outfitters,"8,324.68"
SO-40055,31-Mar-2026,Gulf,Tamarack Brewing,"6,925.32 USD"
SO-40061,31-Mar-2026,Great Lakes,Umber Ceramics,"3,783.74 USD"
SO-40048,03/31/2026,Gulf,Kestrel Analytics,"4,277.54"
SO-40029,2026-03-31,Gulf,Kingfisher Charters,"$7,505.16"
SO-40205,01-Apr-2026,Great Lakes,Blue Heron Consulting,"1,609.18 USD"
SO-40206,2026-04-02,Great Lakes,Orchard Hill Dental,"$3,689.87"
SO-40226,02-Apr-2026,Mountain,Blue Heron Consulting,836.48 USD
SO-40209,2026-04-02,Great Lakes,Redwood Property Mgmt,"$7,253.45"
SO-40208,02-Apr-2026,Great Lakes,Mossbank Accounting,860.36 USD
SO-40225,04/03/2026,Mountain,Quarry Road Nursery,"7,427.49"
SO-40253,03-Apr-2026,Pacific,Ellington Bakeries,"7,372.60 USD"
SO-40175,03-Apr-2026,Gulf,Copperfield Law,"5,967.44 USD"
SO-40173,2026-04-03,Gulf,Westbrook Plumbing,$914.95
SO-40201,04/04/2026,Great Lakes,Northfield Auto Body,"9,150.21"
SO-40228,04/04/2026,Mountain,Valley Forge Storage,"3,017.25"
SO-40236,2026-04-05,Mountain,Orchard Hill Dental,$895.98
SO-40189,04/05/2026,Great Lakes,Ironwood Fabrication,"8,257.57"
SO-40248,2026-04-05,Pacific,Quarry Road Nursery,"$6,422.71"
SO-40219,04/05/2026,Mountain,Dorsey Freight,"8,477.59"
SO-40174,04/06/2026,Gulf,Kingfisher Charters,"6,626.97"
SO-40193,06-Apr-2026,Great Lakes,Cedar & Pine Landscaping,811.45 USD
SO-40204,04/06/2026,Great Lakes,Thistle & Thread Alterations,"1,672.18"
SO-40210,04/07/2026,Great Lakes,Brightwater Dental,"4,757.00"
SO-40140,2026-04-07,Atlantic,Harbor Light Marine,"$4,149.59"
SO-40181,08-Apr-2026,Gulf,Copperfield Law,"5,302.08 USD"
SO-40229,08-Apr-2026,Mountain,Kingfisher Charters,"5,267.74 USD"
SO-40197,2026-04-08,Great Lakes,Copperfield Law,"$2,390.98"
SO-40183,04/08/2026,Gulf,Quarry Road Nursery,"8,878.44"
SO-40196,09-Apr-2026,Great Lakes,Harbor Light Marine,"5,765.59 USD"
SO-40211,09-Apr-2026,Great Lakes,Valley Forge Storage,"7,576.19 USD"
CM-7108,04/09/2026,Gulf,Kingfisher Charters,"(1,195.84)"
SO-40213,04/09/2026,Great Lakes,Thistle & Thread Alterations,"5,964.20"
SO-40241,09-Apr-2026,Pacific,Hollowell Electric,"4,352.78 USD"
SO-40171,04/09/2026,Gulf,Ivy Lane Florist,"1,826.24"
SO-40252,04/09/2026,Pacific,Ellington Bakeries,"5,933.41"
SO-40172,09-Apr-2026,Gulf,Kingfisher Charters,"1,195.84 USD"
SO-40158,2026-04-09,Atlantic,Saltmarsh Kayaks,"$5,631.70"
