Sales by territory
Range 02/24/2026 - 03/31/2026
Doc No,Doc Date,Territory,Customer,Amount
SO-40062,2026-03-01,Great Lakes,Uptown Fitness,"$5,755.70"
SO-40009,03/01/2026,Atlantic,Larkspur Yoga,"2,288.62"
SO-40102,03/01/2026,Mountain,Saltmarsh Kayaks,408.06
SO-40007,01-Mar-2026,Atlantic,Thistle & Thread Alterations,"5,127.74 USD"
SO-40111,03/02/2026,Pacific,Zephyr Bike Works,"7,975.44"
SO-40125,2026-03-02,Pacific,Ellington Bakeries,"$7,097.17"
SO-40020,2026-03-03,Atlantic,Fernbrook Montessori,"$6,214.17"
SO-40038,2026-03-03,Gulf,Foxglove Interiors,"$8,028.53"
SO-40136,03-Mar-2026,Pacific,Ironwood Fabrication,"8,926.75 USD"
SO-40104,2026-03-04,Mountain,Kingfisher Charters,"$7,226.38"
SO-40045,03/04/2026,Gulf,Quarry Road Nursery,"8,310.39"
SO-40003,03/04/2026,Atlantic,Ivy Lane Florist,571.73
SO-40108,03/05/2026,Mountain,Mossbank Accounting,"8,405.08"
SO-40118,05-Mar-2026,Pacific,Quarry Road Nursery,"9,050.97 USD"
SO-40106,05-Mar-2026,Mountain,Uptown Fitness,"3,033.93 USD"
SO-40056,2026-03-05,Great Lakes,Acme Industrial,"$5,299.17"
SO-40058,06-Mar-2026,Great Lakes,Zephyr Bike Works,"5,851.91 USD"
SO-40041,2026-03-06,Gulf,Quarry Road Nursery,"$5,003.14"
SO-40093,03/06/2026,Mountain,Mossbank Accounting,"2,165.59"
SO-40069,03/06/2026,Great Lakes,Kestrel Analytics,"8,409.57"
SO-40021,03/06/2026,Atlantic,Larkspur Yoga,"7,778.77"
SO-40115,06-Mar-2026,Pacific,Quarry Road Nursery,"4,633.75 USD"
SO-40084,03/06/2026,Mountain,Granite Peak Outfitters,"4,183.71"
SO-40024,03/06/2026,Atlantic,Kestrel Analytics,"4,779.88"
SO-40127,07-Mar-2026,Pacific,Tamarack Brewing,"2,972.62 USD"
SO-40059,2026-03-07,Great Lakes,Westbrook Plumbing,"$1,199.35"
SO-40065,2026-03-07,Great Lakes,Redwood Property Mgmt,"$6,309.16"
SO-40091,07-Mar-2026,Mountain,Riverbend Physio,"7,227.93 USD"
SO-40046,07-Mar-2026,Gulf,Quill & Ink Print Shop,"4,153.10 USD"
SO-40047,2026-03-08,Gulf,Brightwater Dental,"$3,848.16"
SO-40068,2026-03-08,Great Lakes,Ellington Bakeries,"$6,762.13"
SO-40100,08-Mar-2026,Mountain,Brightwater Dental,"7,497.38 USD"
SO-40035,2026-03-08,Gulf,Saltmarsh Kayaks,"$1,893.64"
SO-40011,2026-03-08,Atlantic,Glassworks Optical,"$8,775.93"
SO-40026,2026-03-08,Atlantic,Copperfield Law,"$4,882.29"
SO-40086,2026-03-09,Mountain,Zephyr Bike Works,"$4,555.85"
SO-40042,03/09/2026,Gulf,Thistle & Thread Alterations,"6,638.92"
SO-40078,03/09/2026,Great Lakes,Yellowtail Seafood,"8,230.02"
SO-40131,2026-03-09,Pacific,Everline Insurance,"$2,252.45"
SO-40101,2026-03-09,Mountain,Nightjar Coffee Roasters,"$8,023.90"
SO-40135,03/09/2026,Pacific,Saltmarsh Kayaks,"1,217.29"
SO-40054,03/10/2026,Gulf,Ellington Bakeries,"7,943.61"
SO-40063,03/10/2026,Great Lakes,Brightwater Dental,"1,713.85"
SO-40053,2026-03-10,Gulf,Ironwood Fabrication,"$8,914.98"
SO-40043,11-Mar-2026,Gulf,Ivy Lane Florist,"4,527.09 USD"
SO-40052,11-Mar-2026,Gulf,Umber Ceramics,"5,922.82 USD"
SO-40090,03/11/2026,Mountain,Quill & Ink Print Shop,"8,931.79"
SO-40096,03/11/2026,Mountain,Oakhurst Pediatrics,"3,787.45"
SO-40074,2026-03-11,Great Lakes,Cedar & Pine Landscaping,"$3,930.60"
SO-40097,11-Mar-2026,Mountain,Lakeside Veterinary,"3,132.61 USD"
SO-40109,11-Mar-2026,Mountain,Riverbend Physio,"7,458.24 USD"
SO-40094,12-Mar-2026,Mountain,Foxglove Interiors,"7,601.40 USD"
SO-40071,2026-03-12,Great Lakes,Vantage Point Media,"$3,341.73"
SO-40033,03/12/2026,Gulf,Acme Industrial,"5,101.69"
SO-40126,03/12/2026,Pacific,Kestrel Analytics,"4,863.29"
