Yellowtail Seafood - Invoice Register
Run 09/08/2026 07:12 - all invoices since 03/01/2026
Invoice No,Customer,Invoice Date,Terms,Due Date,Amount,Paid/Credited,Balance,Status
YS-31201,Blue Heron Catering,03/01/2026,Net 30,03/31/2026,"7,448.75","7,448.75",0.00,Paid
YS-31202,Juniper Street Cafe,03/01/2026,Net 15,03/16/2026,"6,022.24","6,022.24",0.00,Paid
YS-31203,Kingfisher Charters Galley,03/02/2026,Net 15,03/17/2026,"4,300.81","4,300.81",0.00,Paid
YS-31204,Larkspur Hotel Kitchen,03/02/2026,Net 45,04/16/2026,"2,074.96","2,074.96",0.00,Paid
YS-31205,Riverbend Bistro,03/02/2026,Net 30,04/01/2026,"2,422.61","2,422.61",0.00,Paid
YS-31206,The Saltwater Grill,03/02/2026,Net 45,04/16/2026,"4,442.03","4,442.03",0.00,Paid
YS-31207,Copper Kettle Diner,03/03/2026,Net 15,03/18/2026,"2,576.86","2,576.86",0.00,Paid
YS-31208,Pier 9 Fish House,03/03/2026,Net 30,04/02/2026,"3,775.04","3,775.04",0.00,Paid
YS-31209,Tamarack Brewing,03/03/2026,Net 30,04/02/2026,"5,659.20","5,659.20",0.00,Paid
YS-31210,Harborview Oyster Bar,03/04/2026,Net 30,04/03/2026,"6,956.40","6,956.40",0.00,Paid
YS-31211,Driftwood Taqueria,03/05/2026,Net 30,04/04/2026,"6,143.13","6,143.13",0.00,Paid
YS-31212,Ellington Bakeries,03/05/2026,Net 15,03/20/2026,"1,760.83","1,760.83",0.00,Paid
YS-31213,Juniper Street Cafe,03/05/2026,Net 15,03/20/2026,"2,462.21","2,462.21",0.00,Paid
YS-31214,Mossbank Country Club,03/05/2026,Net 30,04/04/2026,"1,211.73","1,211.73",0.00,Paid
YS-31215,Riverbend Bistro,03/05/2026,Net 30,04/04/2026,"7,376.97","7,376.97",0.00,Paid
YS-31216,Nightjar Supper Club,03/06/2026,Net 15,03/21/2026,"7,639.77","7,639.77",0.00,Paid
YS-31217,The Saltwater Grill,03/06/2026,Net 45,04/20/2026,"7,911.43","7,911.43",0.00,Paid
YS-31218,Harborview Oyster Bar,03/07/2026,Net 30,04/06/2026,"2,089.31","2,089.31",0.00,Paid
YS-31219,Larkspur Hotel Kitchen,03/08/2026,Net 45,04/22/2026,"6,182.76","6,182.76",0.00,Paid
YS-31220,Mossbank Country Club,03/09/2026,Net 30,04/08/2026,"5,069.41","5,069.41",0.00,Paid
YS-31221,Pier 9 Fish House,03/09/2026,Net 30,04/08/2026,"1,712.93","1,712.93",0.00,Paid
YS-31222,The Saltwater Grill,03/09/2026,Net 45,04/23/2026,"8,624.20","8,624.20",0.00,Paid
YS-31223,Blue Heron Catering,03/10/2026,Net 30,04/09/2026,919.47,919.47,0.00,Paid
YS-31224,Harborview Oyster Bar,03/10/2026,Net 30,04/09/2026,"6,194.39","6,194.39",0.00,Paid
YS-31225,Riverbend Bistro,03/10/2026,Net 30,04/09/2026,"3,141.00","3,141.00",0.00,Paid
YS-31226,Copper Kettle Diner,03/11/2026,Net 15,03/26/2026,"2,753.34","2,753.34",0.00,Paid
YS-31227,Larkspur Hotel Kitchen,03/11/2026,Net 45,04/25/2026,"4,192.45","4,192.45",0.00,Paid
YS-31228,Driftwood Taqueria,03/12/2026,Net 30,04/11/2026,"7,028.93","7,028.93",0.00,Paid
YS-31229,Juniper Street Cafe,03/13/2026,Net 15,03/28/2026,"5,301.75","5,301.75",0.00,Paid
YS-31230,Pier 9 Fish House,03/13/2026,Net 30,04/12/2026,"4,578.87","4,578.87",0.00,Paid
YS-31231,Tamarack Brewing,03/13/2026,Net 30,04/12/2026,"3,182.04","3,182.04",0.00,Paid
YS-31232,Kingfisher Charters Galley,03/14/2026,Net 15,03/29/2026,"3,250.72","3,250.72",0.00,Paid
YS-31233,Blue Heron Catering,03/15/2026,Net 30,04/14/2026,"5,469.50","5,469.50",0.00,Paid
YS-31234,Harborview Oyster Bar,03/15/2026,Net 30,04/14/2026,"3,805.16","3,805.16",0.00,Paid
YS-31235,Larkspur Hotel Kitchen,03/15/2026,Net 45,04/29/2026,"5,276.99","5,276.99",0.00,Paid
YS-31236,Riverbend Bistro,03/15/2026,Net 30,04/14/2026,"3,018.80","3,018.80",0.00,Paid
YS-31237,The Saltwater Grill,03/15/2026,Net 45,04/29/2026,"8,050.19","8,050.19",0.00,Paid
YS-31238,The Saltwater Grill,03/17/2026,Net 45,05/01/2026,"11,826.03","11,826.03",0.00,Paid
YS-31239,Copper Kettle Diner,03/18/2026,Net 15,04/02/2026,"4,663.87",0.00,"4,663.87",Open
YS-31240,Ellington Bakeries,03/18/2026,Net 15,04/02/2026,"5,452.63","5,452.63",0.00,Paid
YS-31241,Mossbank Country Club,03/19/2026,Net 30,04/18/2026,"4,617.03","4,617.03",0.00,Paid
YS-31242,Pier 9 Fish House,03/19/2026,Net 30,04/18/2026,"7,312.44","7,312.44",0.00,Paid
YS-31243,Larkspur Hotel Kitchen,03/20/2026,Net 45,05/04/2026,"1,541.52","1,541.52",0.00,Paid
YS-31244,Tamarack Brewing,03/20/2026,Net 30,04/19/2026,"4,406.64","4,406.64",0.00,Paid
YS-31245,The Saltwater Grill,03/20/2026,Net 45,05/04/2026,"6,794.69","6,794.69",0.00,Paid
YS-31246,Harborview Oyster Bar,03/21/2026,Net 30,04/20/2026,"1,114.27",0.00,"1,114.27",Open
YS-31247,Riverbend Bistro,03/21/2026,Net 30,04/20/2026,"4,471.59","4,471.59",0.00,Paid
YS-31248,Blue Heron Catering,03/22/2026,Net 30,04/21/2026,"2,195.36","2,195.36",0.00,Paid
YS-31249,Juniper Street Cafe,03/23/2026,Net 15,04/07/2026,"1,895.78",0.00,"1,895.78",Open
YS-31250,Copper Kettle Diner,03/24/2026,Net 15,04/08/2026,"4,123.15","4,123.15",0.00,Paid
YS-31251,Pier 9 Fish House,03/24/2026,Net 30,04/23/2026,"6,493.90","6,493.90",0.00,Paid
YS-31252,Riverbend Bistro,03/24/2026,Net 30,04/23/2026,"5,752.44","5,752.44",0.00,Paid
YS-31253,Larkspur Hotel Kitchen,03/25/2026,Net 45,05/09/2026,"1,927.69","1,927.69",0.00,Paid
YS-31254,Mossbank Country Club,03/25/2026,Net 30,04/24/2026,"4,758.92","1,189.73","3,569.19",Partially Paid
YS-31255,The Saltwater Grill,03/25/2026,Net 45,05/09/2026,"11,279.61","11,279.61",0.00,Paid
YS-31256,Harborview Oyster Bar,03/26/2026,Net 30,04/25/2026,"3,124.32","3,124.32",0.00,Paid
YS-31257,Kingfisher Charters Galley,03/27/2026,Net 15,04/11/2026,"1,996.50","1,996.50",0.00,Paid
YS-31258,The Saltwater Grill,03/27/2026,Net 45,05/11/2026,"5,008.16","5,008.16",0.00,Paid
YS-31259,Driftwood Taqueria,03/28/2026,Net 30,04/27/2026,"1,786.41","1,786.41",0.00,Paid
YS-31260,Mossbank Country Club,03/29/2026,Net 30,04/28/2026,"6,854.93","6,854.93",0.00,Paid
YS-31261,The Saltwater Grill,03/29/2026,Net 45,05/13/2026,"2,207.44","2,207.44",0.00,Paid
YS-31262,Juniper Street Cafe,03/30/2026,Net 15,04/14/2026,"2,023.83","2,023.83",0.00,Paid
YS-31263,Pier 9 Fish House,03/30/2026,Net 30,04/29/2026,"1,813.45","1,813.45",0.00,Paid
YS-31264,Tamarack Brewing,03/30/2026,Net 30,04/29/2026,"5,064.39","5,064.39",0.00,Paid
YS-31265,Blue Heron Catering,03/31/2026,Net 30,04/30/2026,"3,476.69","3,476.69",0.00,Paid
YS-31266,Riverbend Bistro,03/31/2026,Net 30,04/30/2026,"5,608.36","5,608.36",0.00,Paid
YS-31267,The Saltwater Grill,03/31/2026,Net 45,05/15/2026,"10,871.08","10,871.08",0.00,Paid
YS-31268,Larkspur Hotel Kitchen,04/01/2026,Net 45,05/16/2026,"3,284.83","3,284.83",0.00,Paid
YS-31269,Harborview Oyster Bar,04/02/2026,Net 30,05/02/2026,"5,555.02","5,555.02",0.00,Paid
YS-31270,The Saltwater Grill,04/03/2026,Net 45,05/18/2026,"1,555.17","1,555.17",0.00,Paid
YS-31271,Copper Kettle Diner,04/04/2026,Net 15,04/19/2026,"5,001.93","5,001.93",0.00,Paid
YS-31272,Driftwood Taqueria,04/05/2026,Net 30,05/05/2026,"6,913.86","6,913.86",0.00,Paid
YS-31273,Ellington Bakeries,04/05/2026,Net 15,04/20/2026,"6,676.70","6,676.70",0.00,Paid
YS-31274,Larkspur Hotel Kitchen,04/05/2026,Net 45,05/20/2026,"2,639.92","2,639.92",0.00,Paid
YS-31275,Mossbank Country Club,04/05/2026,Net 30,05/05/2026,"3,700.19","3,700.19",0.00,Paid
YS-31276,Harborview Oyster Bar,04/06/2026,Net 30,05/06/2026,"4,343.97","4,343.97",0.00,Paid
YS-31277,Pier 9 Fish House,04/07/2026,Net 30,05/07/2026,"6,181.72","6,181.72",0.00,Paid
YS-31278,The Saltwater Grill,04/07/2026,Net 45,05/22/2026,"5,664.33","5,664.33",0.00,Paid
YS-31279,Harborview Oyster Bar,04/08/2026,Net 30,05/08/2026,"6,835.23","6,835.23",0.00,Paid
YS-31280,Nightjar Supper Club,04/09/2026,Net 15,04/24/2026,"2,106.59","2,106.59",0.00,Paid
YS-31281,Riverbend Bistro,04/09/2026,Net 30,05/09/2026,"5,992.42","5,992.42",0.00,Paid
YS-31282,Tamarack Brewing,04/09/2026,Net 30,05/09/2026,"4,824.19","4,824.19",0.00,Paid
YS-31283,Blue Heron Catering,04/10/2026,Net 30,05/10/2026,"4,429.75","4,429.75",0.00,Paid
YS-31284,Larkspur Hotel Kitchen,04/10/2026,Net 45,05/25/2026,"4,156.40","4,156.40",0.00,Paid
YS-31285,Copper Kettle Diner,04/11/2026,Net 15,04/26/2026,"3,884.82","3,884.82",0.00,Paid
YS-31286,Driftwood Taqueria,04/11/2026,Net 30,05/11/2026,"2,515.89","2,515.89",0.00,Paid
YS-31287,The Saltwater Grill,04/11/2026,Net 45,05/26/2026,"10,575.98","10,575.98",0.00,Paid
YS-31288,Harborview Oyster Bar,04/12/2026,Net 30,05/12/2026,"4,658.17","4,658.17",0.00,Paid
YS-31289,Juniper Street Cafe,04/13/2026,Net 15,04/28/2026,"2,288.47","2,288.47",0.00,Paid
YS-31290,Pier 9 Fish House,04/13/2026,Net 30,05/13/2026,"6,373.65","6,373.65",0.00,Paid
YS-31291,Harborview Oyster Bar,04/14/2026,Net 30,05/14/2026,"3,992.88","3,992.88",0.00,Paid
YS-31292,Larkspur Hotel Kitchen,04/14/2026,Net 45,05/29/2026,"1,564.42","1,564.42",0.00,Paid
YS-31293,Mossbank Country Club,04/14/2026,Net 30,05/14/2026,"6,325.87","6,325.87",0.00,Paid
YS-31294,Tamarack Brewing,04/14/2026,Net 30,05/14/2026,"3,689.19","3,689.19",0.00,Paid
YS-31295,The Saltwater Grill,04/14/2026,Net 45,05/29/2026,"3,506.79","3,506.79",0.00,Paid
YS-31296,Harborview Oyster Bar,04/16/2026,Net 30,05/16/2026,"2,580.94","2,580.94",0.00,Paid
YS-31297,Pier 9 Fish House,04/16/2026,Net 30,05/16/2026,"5,374.34","5,374.34",0.00,Paid
YS-31298,Blue Heron Catering,04/17/2026,Net 30,05/17/2026,"5,858.36","5,858.36",0.00,Paid
YS-31299,Riverbend Bistro,04/17/2026,Net 30,05/17/2026,"6,217.09","6,217.09",0.00,Paid
YS-31300,The Saltwater Grill,04/17/2026,Net 45,06/01/2026,"8,361.40","8,361.40",0.00,Paid
YS-31301,Ellington Bakeries,04/19/2026,Net 15,05/04/2026,"1,710.74","1,710.74",0.00,Paid
YS-31302,Larkspur Hotel Kitchen,04/19/2026,Net 45,06/03/2026,"5,704.00","5,704.00",0.00,Paid
YS-31303,The Saltwater Grill,04/19/2026,Net 45,06/03/2026,"10,465.71","10,465.71",0.00,Paid
YS-31304,Kingfisher Charters Galley,04/20/2026,Net 15,05/05/2026,"5,378.51","5,378.51",0.00,Paid
YS-31305,Pier 9 Fish House,04/20/2026,Net 30,05/20/2026,"4,501.32","4,501.32",0.00,Paid
YS-31306,Copper Kettle Diner,04/21/2026,Net 15,05/06/2026,"6,868.17","6,868.17",0.00,Paid
YS-31307,Harborview Oyster Bar,04/21/2026,Net 30,05/21/2026,"6,871.97","6,871.97",0.00,Paid
