Nightjar Coffee Roasters - Stock status by bin
Generated 09/12/2026 06:00 by warehouse.system
SKU,Item,Bin,On Hand (EA),Case Qty,Last Counted
NJ-1294,Bottled water 500 ml,A01,336,24,07/31/2026
NJ-1334,Cookie dough puck,A02,1344,96,07/31/2026
NJ-1376,Merch tee M,A03,156,12,07/31/2026
NJ-1245,Whole milk 1 gal,A04,24,4,07/31/2026
NJ-1165,Hot cup 12 oz sleeve of 50,A05,240,20,07/31/2026
NJ-1178,Cup lid 12/16 oz sleeve of 100,A06,110,10,07/31/2026
NJ-1340,Cleaning tablets 100 ct,A07,168,12,07/31/2026
NJ-1370,Branded tote bag,A08,64,25,07/31/2026
NJ-1360,Branded tumbler 16 oz,A09,26,12,07/31/2026
NJ-1188,Cold cup 20 oz sleeve of 50,A10,38,20,07/31/2026
NJ-1237,Oat milk 32 oz carton,A11,104,12,07/31/2026
NJ-1192,Cold cup lid sleeve of 100,A12,40,10,07/31/2026
NJ-1159,Single-serve pods 10 ct,A13,110,12,07/31/2026
NJ-1326,Bagel frozen 6 pk,A14,88,8,07/31/2026
NJ-1110,Espresso Roast 12 oz bag,A15,-18,6,07/31/2026
NJ-1206,Paper filter basket box of 250,A16,108,12,07/31/2026
NJ-1298,Sparkling water 12 oz can,A17,312,24,07/31/2026
NJ-1268,Sugar packets box of 2000,A18,5,1,07/31/2026
NJ-1282,Napkins case of 3000,A19,3,1,07/31/2026
NJ-1200,Paper filter #4 box of 100,A20,117,12,07/31/2026
NJ-1223,Caramel syrup 750 ml,A21,48,6,07/31/2026
NJ-1132,Guatemala Antigua 12 oz bag,A22,87,6,07/31/2026
NJ-1306,Kombucha 16 oz bottle,B01,168,12,07/31/2026
NJ-1314,Croissant frozen,B02,432,48,07/31/2026
NJ-1228,Hazelnut syrup 750 ml,B03,92,6,07/31/2026
NJ-1145,House Blend 5 lb bag,B04,52,4,07/31/2026
NJ-1114,Decaf Colombia 12 oz bag,B05,24,6,07/31/2026
NJ-1255,Matcha powder 1 lb,B06,48,8,07/31/2026
NJ-1174,Hot cup 16 oz sleeve of 50,B07,72,20,07/31/2026
NJ-1263,Chai concentrate 32 oz,B08,34,12,07/31/2026
NJ-1151,Espresso Roast 5 lb bag,B09,12,4,07/31/2026
NJ-1251,Chocolate sauce 64 oz,B10,65,6,07/31/2026
NJ-1317,Muffin frozen,B11,12,24,07/31/2026
NJ-1357,Gift card blank,B12,27,100,07/31/2026
NJ-1280,Stir sticks box of 1000,B13,40,10,07/31/2026
NJ-1138,Cold Brew Blend 2 lb bag,B14,8,4,07/31/2026
NJ-1103,House Blend 12 oz bag,B15,42,6,07/31/2026
NJ-1349,Descaler 1 L,B16,7,6,07/31/2026
NJ-1123,Ethiopia Yirgacheffe 12 oz bag,B17,-4,6,07/31/2026
NJ-1212,Vanilla syrup 750 ml,B18,77,6,07/31/2026
NJ-1298,Sparkling water 12 oz can,B19,288,24,07/31/2026
NJ-1334,Cookie dough puck,B20,672,96,07/31/2026
