SKU,Product name,Category,Pack qty,Retail price,Wholesale price,Status,Internal note
BDY-109,Balloon bouquet,Birthday,box of 6,$4.40,2.00,Active,restock Oct
BDY-112,Confetti burst,Birthday,6,$7.60,3.45 ea,Active,
BDY-115,Party hat corgi,Birthday,12-pack,$6.05,$2.75,Active,
BDY-118,Rocket candle,Birthday,12,$4.20,$1.90,Active,
EVD-121,Blue bicycle,Everyday,6,$7.70,3.50,Discontinued,
EVD-124,Letterpress alphabet,Everyday,6,$7.50,3.40,Active,
EVD-127,DISCONTINUED - Paper boats,Everyday,6,$5.40,$2.45,Active,
EVD-130,Tiny cactus,Everyday,12-pack,$4.20,$1.9,Active,
HOL-133,Candlelit window,Holiday,6 pk,$4.60,$2.10,Active,low paper stock
HOL-136,Frosted pinecone,Holiday,box of 12,$5.15, 2.35,DISC,
HOL-139,Pine sprig,Holiday,6 pk,$5.85,$2.65,Active,low paper stock
HOL-142,Snowy owl,Holiday,box of 12,$4.60, 2.10,Active,
HOL-145,Starry sleigh ride,Holiday,6 pk,$6.15, 2.80,Active,low paper stock
NB-148,Dot grid journal,Notebooks,set of 3,$11.30,USD 5.13,Active,
NB-151,Lined jotter trio,Notebooks,3 pk,$11.05,5.02,Active,
NB-154,Pocket notebook kraft,Notebooks,3,$19.30,8.78,Active,
PRT-100,Bee study print,Art Prints,1,$53.00, 26.50,Active,
PRT-103,Botanical fern print,Art Prints,1,$25.00,12.50,Active,
PRT-106,Harbor map print,Art Prints,1 ea,$39.00, 19.50,Active,
SYM-157,Evening lantern,Sympathy,box of 12,$7.15,3.25,Active,
SYM-160,Forget-me-nots,Sympathy,12-pack,$3.75,1.70 ea,Active,restock Oct
SYM-163,Quiet harbor,Sympathy,6 pk,$6.50,2.95,Active,
SYM-166,Willow branch,Sympathy,12,$3.75,1.70,Active,
TY-169,Grateful garden,Thank You,box of 12,$5.15,2.35 ea,disc.,
TY-172,Hummingbird note,Thank You,box of 12,$7.05,$3.20,Active,
TY-175,Paper crane,Thank You,6,$4.05, 1.85,Active,restock Oct
TY-178,Pressed fern,Thank You,6,$7.35,3.35,Active,restock Oct
WED-181,Just married tandem,Wedding,12-pack,$4.50,2.05 ea,Discontinued,
WED-184,Rings and roses,Wedding,12-pack,$6.05,$2.75,DISC,
