po_line,item,ordered,received,open,flag
4461-03,HOP-CIT,10,16,0,OVER
4463-01,YST-US05,60,58,2,
4463-02,KEG-CAP,1100,300,800,
4463-03,MLT-2ROW,24,27,0,OVER
4463-04,CLN-PBW,60,19,41,
4464-01,KEG-CAP,1400,0,1400,
4465-02,YST-US05,10,0,10,
4465-03,MLT-2ROW,50,0,50,
4466-01,TSH-M,12,7,5,
4466-02,GLS-PNT,264,24,240,
4466-03,CST-LOGO,4000,3000,1000,
4467-01,CAN-16,2600,0,2600,
4468-02,HOP-CIT,40,0,40,
4469-02,CAN-16,1000,0,1000,
4470-01,TSH-L,50,40,10,
4471-01,GLS-PNT,264,288,0,OVER
4471-02,TSH-L,12,0,12,
4471-03,TSH-M,30,0,30,
4472-01,YST-US05,30,0,30,
4472-02,KEG-CAP,400,200,200,
4473-01,KEG-CAP,700,500,200,
4473-02,HOP-CIT,20,9,11,
4474-03,HOP-CIT,30,16,14,
