Check #,Opened,Server,Menu Group,Item,Parent Item,Qty,Gross Price,Discount,Discount Reason,Net Price,Voided
40211,08/01/2026 11:51 AM,Kai,Breakfast,Breakfast Sandwich,,1,9.50,0.00,,9.50,No
40211,08/01/2026 11:51 AM,Kai,Breakfast,Avocado Toast,,1,11.00,0.00,,11.00,No
40212,08/01/2026 12:02 PM,Kai,Breakfast,Oatmeal Bowl,,1,7.50,7.50,Comp - manager,0.00,No
40213,08/01/2026 02:31 PM,Ines,Breakfast,Breakfast Sandwich,,1,9.50,0.00,,9.50,No
40214,08/01/2026 01:29 PM,Ines,Bakery,Croissant,,1,3.75,0.00,,3.75,No
40214,08/01/2026 01:29 PM,Ines,Coffee & Tea,Latte,,1,5.25,0.00,,5.25,No
40214,08/01/2026 01:29 PM,Ines,Modifiers,+ Oat milk,Latte,1,0.75,0.00,,0.75,No
40215,08/01/2026 01:04 PM,Rashid,Coffee & Tea,Cappuccino,,1,4.75,0.00,,4.75,No
40216,08/01/2026 12:01 PM,Kai,Coffee & Tea,Chai Tea,,1,4.75,0.00,,4.75,No
40216,08/01/2026 12:01 PM,Kai,Lunch,Turkey Club,,1,13.50,0.00,,13.50,No
40217,08/01/2026 11:26 AM,Ines,Coffee & Tea,Drip Coffee,,1,3.00,0.00,,3.00,No
40217,08/01/2026 11:26 AM,Ines,Breakfast,Avocado Toast,,1,11.00,0.00,,11.00,No
40218,08/01/2026 01:34 PM,Maribel,Coffee & Tea,Cold Brew,,1,4.50,0.00,,4.50,No
40219,08/01/2026 12:37 PM,Rashid,Lunch,Greek Salad,,1,12.00,0.00,,12.00,No
40219,08/01/2026 12:37 PM,Rashid,Breakfast,Breakfast Sandwich,,1,9.50,0.00,,9.50,No
40219,08/01/2026 12:37 PM,Rashid,Modifiers,+ Add bacon,Breakfast Sandwich,1,2.50,0.00,,2.50,No
40220,08/01/2026 08:42 AM,Rashid,Coffee & Tea,Cold Brew,,1,4.50,0.00,,4.50,No
40220,08/01/2026 08:42 AM,Rashid,Coffee & Tea,Drip Coffee,,1,3.00,0.00,,3.00,No
40221,08/01/2026 11:59 AM,Maribel,Coffee & Tea,Drip Coffee,,1,3.00,0.00,,3.00,No
40221,08/01/2026 11:59 AM,Maribel,Bakery,Croissant,,1,3.75,0.00,,3.75,No
40222,08/01/2026 09:23 AM,Maribel,Coffee & Tea,Cold Brew,,1,4.50,0.00,,4.50,No
40223,08/01/2026 09:19 AM,Theo,Coffee & Tea,Drip Coffee,,1,3.00,0.00,,3.00,No
40223,08/01/2026 09:19 AM,Theo,Lunch,Greek Salad,,1,12.00,0.00,,12.00,No
40224,08/01/2026 12:10 PM,Ines,Coffee & Tea,Cold Brew,,1,4.50,0.00,,4.50,No
40225,08/01/2026 10:38 AM,Rashid,Coffee & Tea,Chai Tea,,1,4.75,0.00,,4.75,No
40225,08/01/2026 10:38 AM,Rashid,Lunch,Turkey Club,,1,13.50,0.00,,13.50,No
40225,08/01/2026 10:38 AM,Rashid,Coffee & Tea,Latte,,1,5.25,0.00,,5.25,No
40225,08/01/2026 10:38 AM,Rashid,Modifiers,+ Oat milk,Latte,1,0.75,0.00,,0.75,No
40226,08/01/2026 08:21 AM,Ines,Bakery,Croissant,,1,3.75,0.00,,3.75,No
40226,08/01/2026 08:21 AM,Ines,Bakery,Chocolate Chip Cookie,,1,2.75,0.00,,2.75,No
40226,08/01/2026 08:21 AM,Ines,Bakery,Croissant,,1,3.75,0.00,,3.75,No
40227,08/01/2026 11:20 AM,Kai,Breakfast,Avocado Toast,,1,11.00,0.00,,11.00,No
40228,08/01/2026 10:19 AM,Theo,Bakery,Croissant,,1,3.75,3.75,Comp - manager,0.00,No
40228,08/01/2026 10:19 AM,Theo,Bakery,Blueberry Muffin,,1,3.50,3.50,Comp - manager,0.00,No
40228,08/01/2026 10:19 AM,Theo,Coffee & Tea,Drip Coffee,,1,3.00,3.00,Comp - manager,0.00,No
40229,08/01/2026 08:42 AM,Theo,Coffee & Tea,Cold Brew,,1,4.50,0.00,,4.50,No
40230,08/01/2026 09:56 AM,Rashid,Coffee & Tea,Drip Coffee,,1,3.00,0.00,,3.00,No
40231,08/01/2026 08:25 AM,Rashid,Breakfast,Breakfast Sandwich,,1,9.50,0.00,,9.50,No
40231,08/01/2026 08:25 AM,Rashid,Modifiers,+ Add bacon,Breakfast Sandwich,1,2.50,0.00,,2.50,No
40231,08/01/2026 08:25 AM,Rashid,Lunch,Greek Salad,,1,12.00,0.00,,12.00,No
40231,08/01/2026 08:25 AM,Rashid,Coffee & Tea,Cappuccino,,1,4.75,0.00,,4.75,No
40231,08/01/2026 08:25 AM,Rashid,Modifiers,+ Extra shot,Cappuccino,1,1.00,0.00,,1.00,No
40232,08/01/2026 08:04 AM,Theo,Coffee & Tea,Drip Coffee,,1,3.00,0.00,,3.00,No
40232,08/01/2026 08:04 AM,Theo,Bakery,Chocolate Chip Cookie,,1,2.75,0.00,,2.75,No
40233,08/01/2026 11:33 AM,Kai,Bakery,Croissant,,1,3.75,0.00,,3.75,No
40234,08/01/2026 07:46 AM,Ines,Coffee & Tea,Latte,,1,5.25,0.00,,5.25,No
40234,08/01/2026 07:46 AM,Ines,Modifiers,+ Oat milk,Latte,1,0.75,0.00,,0.75,No
40235,08/01/2026 08:21 AM,Kai,Bakery,Blueberry Muffin,,1,3.50,0.00,,3.50,No
40235,08/01/2026 08:21 AM,Kai,Breakfast,Breakfast Sandwich,,1,9.50,0.00,,9.50,No
40235,08/01/2026 08:21 AM,Kai,Modifiers,+ Add bacon,Breakfast Sandwich,1,2.50,0.00,,2.50,No
40235,08/01/2026 08:21 AM,Kai,Modifiers,+ Add egg,Breakfast Sandwich,1,1.50,0.00,,1.50,No
40235,08/01/2026 08:21 AM,Kai,Coffee & Tea,Cappuccino,,1,4.75,0.00,,4.75,No
40235,08/01/2026 08:21 AM,Kai,Modifiers,+ Extra shot,Cappuccino,1,1.00,0.00,,1.00,No
40236,08/01/2026 02:47 PM,Theo,Coffee & Tea,Latte,,1,5.25,0.00,,5.25,No
40237,08/01/2026 10:02 AM,Theo,Coffee & Tea,Latte,,1,5.25,0.00,,5.25,No
40238,08/01/2026 12:29 PM,Theo,Coffee & Tea,Drip Coffee,,1,3.00,0.00,,3.00,No
40238,08/01/2026 12:29 PM,Theo,Breakfast,Avocado Toast,,1,11.00,0.00,,11.00,No
40238,08/01/2026 12:29 PM,Theo,Modifiers,+ Add egg,Avocado Toast,1,1.50,0.00,,1.50,No
40239,08/01/2026 01:53 PM,Rashid,Coffee & Tea,Cold Brew,,1,4.50,0.00,,4.50,No
40239,08/01/2026 01:53 PM,Rashid,Modifiers,+ Vanilla syrup,Cold Brew,1,0.60,0.00,,0.60,No
40240,08/01/2026 07:05 AM,Theo,Bakery,Croissant,,1,3.75,0.00,,3.75,No
40240,08/01/2026 07:05 AM,Theo,Lunch,Greek Salad,,1,12.00,0.00,,12.00,No
40241,08/01/2026 08:12 AM,Theo,Coffee & Tea,Cappuccino,,1,4.75,0.00,,4.75,No
40241,08/01/2026 08:12 AM,Theo,Modifiers,+ Extra shot,Cappuccino,1,1.00,0.00,,1.00,No
40241,08/01/2026 08:12 AM,Theo,Coffee & Tea,Cappuccino,,1,4.75,0.00,,4.75,No
40241,08/01/2026 08:12 AM,Theo,Lunch,Soup of the Day,,1,7.00,0.00,,7.00,No
40242,08/01/2026 10:41 AM,Rashid,Coffee & Tea,Latte,,1,5.25,0.00,,5.25,No
40243,08/01/2026 02:15 PM,Rashid,Coffee & Tea,Latte,,1,5.25,0.00,,5.25,No
40243,08/01/2026 02:15 PM,Rashid,Modifiers,+ Vanilla syrup,Latte,1,0.60,0.00,,0.60,No
40243,08/01/2026 02:15 PM,Rashid,Lunch,Turkey Club,,1,13.50,0.00,,13.50,No
40243,08/01/2026 02:15 PM,Rashid,Modifiers,+ Add bacon,Turkey Club,1,2.50,0.00,,2.50,No
40244,08/01/2026 11:48 AM,Ines,Coffee & Tea,Drip Coffee,,1,3.00,0.00,,3.00,No
40244,08/01/2026 11:48 AM,Ines,Breakfast,Oatmeal Bowl,,1,7.50,0.00,,7.50,No
40245,08/01/2026 01:14 PM,Maribel,Bakery,Chocolate Chip Cookie,,1,2.75,0.00,,2.75,No
40245,08/01/2026 01:14 PM,Maribel,Breakfast,Avocado Toast,,1,11.00,0.00,,11.00,No
40246,08/01/2026 02:51 PM,Kai,Coffee & Tea,Latte,,1,5.25,0.00,,5.25,No
40246,08/01/2026 02:51 PM,Kai,Coffee & Tea,Cold Brew,,1,4.50,0.00,,4.50,No
40247,08/01/2026 02:39 PM,Rashid,Coffee & Tea,Latte,,1,5.25,0.00,,5.25,No
40248,08/01/2026 10:21 AM,Theo,Lunch,Soup of the Day,,1,7.00,0.00,,7.00,No
40248,08/01/2026 10:21 AM,Theo,Lunch,Greek Salad,,1,12.00,0.00,,12.00,No
40248,08/01/2026 10:21 AM,Theo,Coffee & Tea,Drip Coffee,,1,3.00,0.00,,3.00,No
40249,08/01/2026 12:37 PM,Kai,Bakery,Blueberry Muffin,,1,3.50,0.00,,3.50,No
40249,08/01/2026 12:37 PM,Kai,Bakery,Blueberry Muffin,,1,3.50,0.00,,3.50,No
40250,08/01/2026 11:09 AM,Maribel,Bakery,Blueberry Muffin,,1,3.50,0.00,,3.50,No
40250,08/01/2026 11:09 AM,Maribel,Coffee & Tea,Cold Brew,,1,4.50,0.00,,4.50,No
40251,08/02/2026 12:21 PM,Rashid,Coffee & Tea,Cappuccino,,1,4.75,0.00,,4.75,No
40252,08/02/2026 12:49 PM,Ines,Breakfast,Breakfast Sandwich,,1,9.50,0.00,,9.50,No
40253,08/02/2026 09:25 AM,Kai,Lunch,Soup of the Day,,1,7.00,0.00,,7.00,No
40253,08/02/2026 09:25 AM,Kai,Lunch,Soup of the Day,,1,7.00,0.00,,7.00,No
40253,08/02/2026 09:25 AM,Kai,Breakfast,Breakfast Sandwich,,1,9.50,0.00,,9.50,No
40254,08/02/2026 07:00 AM,Kai,Breakfast,Breakfast Sandwich,,1,9.50,0.00,,9.50,No
40254,08/02/2026 07:00 AM,Kai,Modifiers,+ Add egg,Breakfast Sandwich,1,1.50,0.00,,1.50,No
40254,08/02/2026 07:00 AM,Kai,Coffee & Tea,Cold Brew,,1,4.50,0.00,,4.50,No
40255,08/02/2026 01:18 PM,Rashid,Bakery,Croissant,,1,3.75,0.00,,3.75,No
40255,08/02/2026 01:18 PM,Rashid,Bakery,Chocolate Chip Cookie,,1,2.75,0.00,,2.75,No
40255,08/02/2026 01:18 PM,Rashid,Breakfast,Oatmeal Bowl,,1,7.50,0.00,,7.50,No
40256,08/02/2026 07:01 AM,Ines,Bakery,Croissant,,1,3.75,0.00,,3.75,No
40256,08/02/2026 07:01 AM,Ines,Bakery,Blueberry Muffin,,1,3.50,0.00,,3.50,No
40257,08/02/2026 01:21 PM,Maribel,Coffee & Tea,Cold Brew,,1,4.50,0.00,,4.50,No
40258,08/02/2026 02:13 PM,Maribel,Coffee & Tea,Drip Coffee,,1,3.00,0.00,,3.00,No
40258,08/02/2026 02:13 PM,Maribel,Coffee & Tea,Chai Tea,,1,4.75,0.00,,4.75,No
40258,08/02/2026 02:13 PM,Maribel,Breakfast,Breakfast Sandwich,,1,9.50,0.00,,9.50,No
40258,08/02/2026 02:13 PM,Maribel,Modifiers,+ Add avocado,Breakfast Sandwich,1,2.00,0.00,,2.00,No
40259,08/02/2026 12:02 PM,Ines,Coffee & Tea,Drip Coffee,,1,3.00,0.00,,3.00,No
40259,08/02/2026 12:02 PM,Ines,Lunch,Turkey Club,,1,13.50,0.00,,13.50,No
40260,08/02/2026 02:33 PM,Theo,Breakfast,Oatmeal Bowl,,1,7.50,0.00,,7.50,No
40260,08/02/2026 02:33 PM,Theo,Coffee & Tea,Drip Coffee,,1,3.00,0.00,,3.00,No
40260,08/02/2026 02:33 PM,Theo,Bakery,Chocolate Chip Cookie,,1,2.75,0.00,,2.75,No
40261,08/02/2026 01:18 PM,Maribel,Lunch,Greek Salad,,1,12.00,0.00,,12.00,No
40261,08/02/2026 01:18 PM,Maribel,Lunch,Turkey Club,,1,13.50,0.00,,13.50,No
