Harbor Foodservice - customer price list
Account 44817 | prices effective 09/01/2026 | price is per pack
Item #,Description,Pack,Price
314933,ARBORIO RICE,5 KG,$30.40
919533,San Marzano tomatoes,2.5 KG TIN,$11.34
468483,Mixed greens,1.5 KG,$15.92
211648,FRESH MOZZARELLA,1 KG,$19.22
678870,"Basil, fresh",500 G,$13.32
952864,GROUND BEEF 80/20,5 KG,$62.73
757529,Extra virgin olive oil,3 L TIN,$42.94
558899,"Chicken stock, low sodium",4 L,$14.21
841757,"Chicken thighs, boneless",5 KG,$39.04
373000,Canola oil,15 L JUG,$40.36
175374,CREMINI MUSHROOMS,2.5 KG,$24.19
879232,Heavy cream 36%,1 L,$6.26
741029,"SALMON SIDE, SKIN-ON, FRESH",5 KG,$158.19
447591,"Cheddar, sliced",2.5 KG,$30.45
682893,Russet potatoes,20 KG SACK,$30.51
976288,Brioche buns 4.5in,CS/12,$9.75
309853,Parmigiano Reggiano,1 KG,$32.62
583643,All-purpose flour,10 KG,$15.23
664915,"WHITE WINE, COOKING",4 L,$24.47
980265,"Linguine, dried",5 KG,$18.17
393538,LEMONS,EA,$0.58
191417,Yellow onions,10 KG SACK,$14.07
624937,"BUTTER, UNSALTED",2 KG,$19.44
192028,"GARLIC, PEELED",1 KG,$11.59
621299,FLAT-LEAF PARSLEY,1 KG,$12.14
