Client Code,Role,Hourly Rate
C-0935,Partner,$440.00
367,Associate,170
C-321,senior,$310.00
C-0367,SENIOR,270
C-0428,PARTNER,420.00
C-0425,Senior,$320.00
C-0294,senior,270.00
0409,Partner,390.00
796,PARTNER,$420.00
C-0183,Senior,$ 260.00
C-289,PARTNER,390.00
348,Associate,$150.00
C-621,Senior,260.00
C-0711,partner,$410.00
690,senior,$290.00
919,PARTNER,$380.00
C-958,Associate,$ 160.00
0428,Associate,180.00
C-140,Senior,$270.00
C-0289,Senior,$280.00
228,Senior,$ 250.00
C-0399,Senior,$310.00
292,ASSOCIATE,$210.00
395,associate,160.00
C-0171,Associate,190.00
0638,Associate,200.00
C-0383,ASSOCIATE,150.00
876,Partner,440
0950,partner,400.00
588,Associate,$210.00
C-824,ASSOCIATE,$160.00
C-0946,Associate,210.00
C-718,senior,$310.00
C-0399,ASSOCIATE,150.00
0970,senior,$300.00
C-0704,Associate,210.00
C-0876,Senior,$300.00
C-0638,PARTNER,440.00
C-0428,Senior,$ 320.00
294,Partner,420
C-946,partner,$ 440.00
C-0950,senior,$310.00
C-0501,Partner,440.00
0234,Senior,$320.00
0817,partner,$450.00
383,senior,$280.00
C-342,Partner,390.00
0441,ASSOCIATE,190.00
C-0192,Senior,290
C-0183,PARTNER,380.00
C-0289,Associate,$150.00
321,partner,$ 430.00
654,Associate,210.00
C-0800,Senior,$320.00
0602,Senior,280.00
495,Partner,380.00
0194,PARTNER,420.00
0773,partner,430.00
C-212,Senior,300.00
0254,Partner,390.00
C-0638,Senior,$320.00
C-0556,ASSOCIATE,$ 190.00
C-0171,Senior,$ 270.00
C-0718,Associate,210.00
C-0635,associate,$210.00
C-0942,Associate,180.00
C-0800,Partner,380.00
C-0621,PARTNER,430.00
C-0425,ASSOCIATE,190.00
0773,Associate,$160.00
C-0728,ASSOCIATE,$200.00
C-0704,Senior,$310.00
C-0661,Associate,$150.00
0702,ASSOCIATE,$200.00
C-0635,Partner,$ 380.00
0398,Senior,$280.00
C-0796,SENIOR,270
0635,Senior,$270.00
C-0958,SENIOR,260
C-0321,associate,$190.00
C-0395,senior,$270.00
C-0621,Associate,170
0234,associate,$ 170.00
C-0932,Partner,420.00
C-0817,associate,$180.00
C-0309,Partner,$430.00
398,Partner,$380.00
0309,Senior,$ 290.00
588,Partner,$390.00
C-183,ASSOCIATE,$180.00
0194,Senior,$ 310.00
C-602,Associate,$ 160.00
665,Senior,$250.00
0501,SENIOR,290
C-919,ASSOCIATE,$200.00
C-0398,Associate,$ 150.00
0823,associate,$ 190.00
665,Associate,$150.00
C-409,SENIOR,$270.00
0309,Associate,$ 150.00
935,Senior,280.00
C-0556,Partner,$ 420.00
C-0718,Partner,$ 430.00
228,PARTNER,380
0876,Associate,$170.00
C-0823,Senior,260
0212,Partner,$ 410.00
C-0441,partner,400
0800,associate,$210.00
C-0690,associate,210
C-0932,Senior,$320.00
0234,Partner,450.00
C-958,Partner,$400.00
796,Associate,$210.00
711,associate,$160.00
C-0140,Partner,400
C-0654,Senior,280
C-0728,Senior,$320.00
0134,SENIOR,$280.00
C-254,Senior,320.00
0963,Partner,$390.00
0134,Partner,$ 380.00
654,Partner,400.00
0704,Partner,390
367,Partner,$400.00
C-0399,PARTNER,$390.00
C-0824,Senior,$280.00
0292,Partner,430
C-0171,Partner,400.00
0140,associate,-$200.00
0932,Associate,$150.00
C-0824,Partner,$380.00
C-0348,Senior,270.00
0963,senior,260
0970,PARTNER,$450.00
C-0918,ASSOCIATE,$150.00
C-0661,Senior,280
C-0192,Partner,400
0950,Associate,160
C-946,senior,$320.00
C-0501,ASSOCIATE,$160.00
C-0602,Partner,$ 430.00
C-0773,SENIOR,$270.00
C-0942,senior,290.00
919,senior,320
918,SENIOR,$ 310.00
C-0817,senior,$ 280.00
C-441,senior,250
0728,Partner,380.00
C-0702,Partner,$380.00
C-0395,PARTNER,420.00
711,Senior,$300.00
194,ASSOCIATE,$200.00
942,Partner,380.00
C-0342,Senior,280.00
C-0690,partner,$430.00
292,senior,$ 260.00
C-661,Partner,$390.00
C-495,Senior,$ 270.00
409,Associate,$ 210.00
C-0348,Partner,$390.00
C-0134,Associate,200.00
254,Associate,180.00
0342,Associate,160.00
0228,associate,190.00
C-0294,ASSOCIATE,$150.00
C-702,Senior,$320.00
0495,Associate,$ 180.00
C-823,Partner,400.00
0918,partner,$440.00
665,partner,$390.00
C-588,Senior,300
425,Partner,450
C-383,Partner,410
C-970,Associate,210
C-0192,ASSOCIATE,150.00
556,Senior,$300.00
C-0963,Associate,160.00
212,Associate,$210.00
C-935,Associate,$ 170.00
