Series key,EXR.D.USD.EUR.SP00.A
Title,ECB reference exchange rate - US dollar per 1 euro - 2:15 pm (C.E.T.)
Note,No rate is published on TARGET closing days; those dates are blank

DATE,TIME PERIOD,US dollar/Euro (EXR.D.USD.EUR.SP00.A)
2026-01-01,01 Jan 2026,
2026-01-02,02 Jan 2026,1.0865
2026-01-05,05 Jan 2026,1.0785
2026-01-06,06 Jan 2026,1.0751
2026-01-07,07 Jan 2026,1.0756
2026-01-08,08 Jan 2026,1.0826
2026-01-09,09 Jan 2026,1.0828
2026-01-12,12 Jan 2026,1.0754
2026-01-13,13 Jan 2026,1.0770
2026-01-14,14 Jan 2026,1.0717
2026-01-15,15 Jan 2026,1.0776
2026-01-16,16 Jan 2026,1.0766
2026-01-19,19 Jan 2026,1.0850
2026-01-20,20 Jan 2026,1.0846
2026-01-21,21 Jan 2026,1.0801
2026-01-22,22 Jan 2026,1.0735
2026-01-23,23 Jan 2026,1.0721
2026-01-26,26 Jan 2026,1.0743
2026-01-27,27 Jan 2026,1.0800
2026-01-28,28 Jan 2026,1.0814
2026-01-29,29 Jan 2026,1.0782
2026-01-30,30 Jan 2026,1.0807
2026-02-02,02 Feb 2026,1.0743
2026-02-03,03 Feb 2026,1.0768
2026-02-04,04 Feb 2026,1.0736
2026-02-05,05 Feb 2026,1.0806
2026-02-06,06 Feb 2026,1.0854
2026-02-09,09 Feb 2026,1.0873
2026-02-10,10 Feb 2026,1.0828
2026-02-11,11 Feb 2026,1.0855
2026-02-12,12 Feb 2026,1.0874
2026-02-13,13 Feb 2026,1.0851
2026-02-16,16 Feb 2026,1.0824
2026-02-17,17 Feb 2026,1.0885
2026-02-18,18 Feb 2026,1.0868
2026-02-19,19 Feb 2026,1.0891
2026-02-20,20 Feb 2026,1.0957
2026-02-23,23 Feb 2026,1.0890
2026-02-24,24 Feb 2026,1.0975
2026-02-25,25 Feb 2026,1.1023
2026-02-26,26 Feb 2026,1.0995
2026-02-27,27 Feb 2026,1.0954
2026-03-02,02 Mar 2026,1.0900
2026-03-03,03 Mar 2026,1.0945
2026-03-04,04 Mar 2026,1.0828
2026-03-05,05 Mar 2026,1.0873
2026-03-06,06 Mar 2026,1.0883
2026-03-09,09 Mar 2026,1.0853
2026-03-10,10 Mar 2026,1.0832
2026-03-11,11 Mar 2026,1.0817
2026-03-12,12 Mar 2026,1.0809
2026-03-13,13 Mar 2026,1.0852
2026-03-16,16 Mar 2026,1.0815
2026-03-17,17 Mar 2026,1.0867
2026-03-18,18 Mar 2026,1.0915
2026-03-19,19 Mar 2026,1.0905
2026-03-20,20 Mar 2026,1.0935
2026-03-23,23 Mar 2026,1.0912
2026-03-24,24 Mar 2026,1.0917
2026-03-25,25 Mar 2026,1.0942
2026-03-26,26 Mar 2026,1.1033
2026-03-27,27 Mar 2026,1.1033
2026-03-30,30 Mar 2026,1.1028
2026-03-31,31 Mar 2026,1.1031
2026-04-01,01 Apr 2026,1.1025
2026-04-02,02 Apr 2026,1.0977
2026-04-03,03 Apr 2026,
2026-04-06,06 Apr 2026,
2026-04-07,07 Apr 2026,1.1066
2026-04-08,08 Apr 2026,1.1039
2026-04-09,09 Apr 2026,1.1014
2026-04-10,10 Apr 2026,1.0984
2026-04-13,13 Apr 2026,1.1017
2026-04-14,14 Apr 2026,1.1156
2026-04-15,15 Apr 2026,1.1298
2026-04-16,16 Apr 2026,1.1345
2026-04-17,17 Apr 2026,1.1363
2026-04-20,20 Apr 2026,1.1364
2026-04-21,21 Apr 2026,1.1320
2026-04-22,22 Apr 2026,1.1356
2026-04-23,23 Apr 2026,1.1354
2026-04-24,24 Apr 2026,1.1452
2026-04-27,27 Apr 2026,1.1441
2026-04-28,28 Apr 2026,1.1397
2026-04-29,29 Apr 2026,1.1314
2026-04-30,30 Apr 2026,1.1234
2026-05-01,01 May 2026,
2026-05-04,04 May 2026,1.1265
2026-05-05,05 May 2026,1.1282
2026-05-06,06 May 2026,1.1231
2026-05-07,07 May 2026,1.1163
2026-05-08,08 May 2026,1.1178
2026-05-11,11 May 2026,1.1163
2026-05-12,12 May 2026,1.1176
2026-05-13,13 May 2026,1.1177
2026-05-14,14 May 2026,1.1143
2026-05-15,15 May 2026,1.1065
2026-05-18,18 May 2026,1.1073
2026-05-19,19 May 2026,1.1079
2026-05-20,20 May 2026,1.1090
2026-05-21,21 May 2026,1.1136
2026-05-22,22 May 2026,1.1181
2026-05-25,25 May 2026,1.1160
2026-05-26,26 May 2026,1.1189
2026-05-27,27 May 2026,1.1090
2026-05-28,28 May 2026,1.1124
2026-05-29,29 May 2026,1.1125
2026-06-01,01 Jun 2026,1.1174
2026-06-02,02 Jun 2026,1.1222
2026-06-03,03 Jun 2026,1.1180
2026-06-04,04 Jun 2026,1.1177
2026-06-05,05 Jun 2026,1.1230
2026-06-08,08 Jun 2026,1.1207
