Order #,Order Date,Account,Import Batch,SKU,Product,Bags,Unit Price,Line Total
W-58201,07/01/2026,Fernbrook Montessori,B0701-1,TL-AB-1,Assam Breakfast 1kg,5,$38.00,$190.00
W-58202,07/01/2026,Uptown Fitness,B0701-1,TL-AB-1,Assam Breakfast 1kg,2,$38.00,$76.00
W-58202,07/01/2026,Uptown Fitness,B0701-1,TL-YG-1,Yunnan Gold 1kg,4,$58.00,$232.00
W-58203,07/01/2026,Ellington Bakeries,B0701-1,TL-MC-1,Masala Chai 1kg,12,$41.00,$492.00
W-58204,07/01/2026,Ellington Bakeries,B0701-1,TL-YG-1,Yunnan Gold 1kg,8,$58.00,$464.00
W-58205,07/01/2026,Larkspur Yoga,B0701-1,TL-CB-1,Chamomile Blossom 1kg,3,$36.00,$108.00
W-58205,07/01/2026,Larkspur Yoga,B0701-1,TL-AB-1,Assam Breakfast 1kg,10,$38.00,$380.00
W-58206,07/02/2026,Kestrel Analytics,B0702-1,TL-AB-1,Assam Breakfast 1kg,4,$38.00,$152.00
W-58206,07/02/2026,Kestrel Analytics,B0702-1,TL-EG-1,Earl Grey Cream 1kg,6,$44.00,$264.00
W-58207,07/02/2026,Tamarack Brewing,B0702-1,TL-YG-1,Yunnan Gold 1kg,5,$58.00,$290.00
W-58207,07/02/2026,Tamarack Brewing,B0702-1,TL-AB-1,Assam Breakfast 1kg,12,$38.00,$456.00
W-58208,07/02/2026,Fernbrook Montessori,B0702-2,TL-AB-1,Assam Breakfast 1kg,5,$38.00,$190.00
W-58209,07/02/2026,Juniper Street Cafe,B0702-2,TL-EG-1,Earl Grey Cream 1kg,6,$44.00,$264.00
W-58210,07/02/2026,Larkspur Yoga,B0702-2,TL-SK-1,Sencha Kagoshima 1kg,12,$62.00,$744.00
W-58211,07/02/2026,Meridian Title,B0702-2,TL-EG-1,Earl Grey Cream 1kg,8,$44.00,$352.00
W-58212,07/02/2026,Meridian Title,B0702-2,TL-SK-1,Sencha Kagoshima 1kg,5,$62.00,$310.00
W-58212,07/02/2026,Meridian Title,B0702-2,TL-YG-1,Yunnan Gold 1kg,3,$58.00,$174.00
W-58213,07/03/2026,Uptown Fitness,B0703-1,TL-EG-1,Earl Grey Cream 1kg,3,$44.00,$132.00
W-58213,07/03/2026,Uptown Fitness,B0703-1,TL-SK-1,Sencha Kagoshima 1kg,10,$62.00,$620.00
W-58213,07/03/2026,Uptown Fitness,B0703-1,TL-YG-1,Yunnan Gold 1kg,5,$58.00,$290.00
W-58214,07/03/2026,Juniper Street Cafe,B0703-1,TL-EG-1,Earl Grey Cream 1kg,5,$44.00,$220.00
W-58214,07/03/2026,Juniper Street Cafe,B0703-1,TL-CB-1,Chamomile Blossom 1kg,12,$36.00,$432.00
W-58215,07/04/2026,Wren & Sparrow Bookshop,B0704-1,TL-EG-1,Earl Grey Cream 1kg,6,$44.00,$264.00
W-58216,07/04/2026,Blue Heron Consulting,B0704-1,TL-YG-1,Yunnan Gold 1kg,4,$58.00,$232.00
W-58217,07/04/2026,Driftwood Studio,B0704-1,TL-AB-1,Assam Breakfast 1kg,2,$38.00,$76.00
W-58218,07/06/2026,Harbor Light Marine,B0706-1,TL-MC-1,Masala Chai 1kg,6,$41.00,$246.00
W-58218,07/06/2026,Harbor Light Marine,B0706-1,TL-CB-1,Chamomile Blossom 1kg,6,$36.00,$216.00
W-58219,07/06/2026,Fernbrook Montessori,B0706-1,TL-AB-1,Assam Breakfast 1kg,10,$38.00,$380.00
W-58220,07/06/2026,Ellington Bakeries,B0706-1,TL-MC-1,Masala Chai 1kg,4,$41.00,$164.00
W-58221,07/06/2026,Juniper Street Cafe,B0706-2,TL-EG-1,Earl Grey Cream 1kg,10,$44.00,$440.00
W-58221,07/06/2026,Juniper Street Cafe,B0706-2,TL-YG-1,Yunnan Gold 1kg,8,$58.00,$464.00
W-58222,07/06/2026,Fernbrook Montessori,B0706-2,TL-EG-1,Earl Grey Cream 1kg,6,$44.00,$264.00
W-58223,07/06/2026,Zephyr Bike Works,B0706-2,TL-MC-1,Masala Chai 1kg,2,$41.00,$82.00
W-58223,07/06/2026,Zephyr Bike Works,B0706-2,TL-CB-1,Chamomile Blossom 1kg,5,$36.00,$180.00
W-58224,07/06/2026,Ellington Bakeries,B0706-2,TL-EG-1,Earl Grey Cream 1kg,2,$44.00,$88.00
W-58224,07/06/2026,Ellington Bakeries,B0706-2,TL-YG-1,Yunnan Gold 1kg,6,$58.00,$348.00
W-58224,07/06/2026,Ellington Bakeries,B0706-2,TL-AB-1,Assam Breakfast 1kg,2,$38.00,$76.00
W-58225,07/07/2026,Larkspur Yoga,B0707-1,TL-YG-1,Yunnan Gold 1kg,2,$58.00,$116.00
W-58226,07/07/2026,Juniper Street Cafe,B0707-1,TL-YG-1,Yunnan Gold 1kg,10,$58.00,$580.00
W-58226,07/07/2026,Juniper Street Cafe,B0707-1,TL-AB-1,Assam Breakfast 1kg,12,$38.00,$456.00
W-58227,07/07/2026,Ellington Bakeries,B0707-1,TL-EG-1,Earl Grey Cream 1kg,12,$44.00,$528.00
W-58228,07/07/2026,Larkspur Yoga,B0707-1,TL-CB-1,Chamomile Blossom 1kg,12,$36.00,$432.00
W-58229,07/08/2026,Zephyr Bike Works,B0708-1,TL-EG-1,Earl Grey Cream 1kg,10,$44.00,$440.00
W-58230,07/08/2026,Kestrel Analytics,B0708-1,TL-CB-1,Chamomile Blossom 1kg,12,$36.00,$432.00
W-58230,07/08/2026,Kestrel Analytics,B0708-1,TL-SK-1,Sencha Kagoshima 1kg,2,$62.00,$124.00
W-58230,07/08/2026,Kestrel Analytics,B0708-1,TL-EG-1,Earl Grey Cream 1kg,5,$44.00,$220.00
W-58231,07/08/2026,Glassworks Optical,B0708-1,TL-MC-1,Masala Chai 1kg,10,$41.00,$410.00
W-58231,07/08/2026,Glassworks Optical,B0708-1,TL-AB-1,Assam Breakfast 1kg,10,$38.00,$380.00
W-58232,07/08/2026,Ellington Bakeries,B0708-1,TL-YG-1,Yunnan Gold 1kg,4,$58.00,$232.00
W-58232,07/08/2026,Ellington Bakeries,B0708-1,TL-CB-1,Chamomile Blossom 1kg,8,$36.00,$288.00
W-58232,07/08/2026,Ellington Bakeries,B0708-1,TL-AB-1,Assam Breakfast 1kg,3,$38.00,$114.00
W-58233,07/09/2026,Umber Ceramics,B0709-1,TL-EG-1,Earl Grey Cream 1kg,2,$44.00,$88.00
W-58233,07/09/2026,Umber Ceramics,B0709-1,TL-SK-1,Sencha Kagoshima 1kg,5,$62.00,$310.00
W-58234,07/09/2026,Larkspur Yoga,B0709-1,TL-AB-1,Assam Breakfast 1kg,10,$38.00,$380.00
W-58235,07/09/2026,Larkspur Yoga,B0709-1,TL-AB-1,Assam Breakfast 1kg,12,$38.00,$456.00
W-58236,07/09/2026,Juniper Street Cafe,B0709-2,TL-EG-1,Earl Grey Cream 1kg,2,$44.00,$88.00
W-58237,07/09/2026,Driftwood Studio,B0709-2,TL-EG-1,Earl Grey Cream 1kg,5,$44.00,$220.00
W-58237,07/09/2026,Driftwood Studio,B0709-2,TL-AB-1,Assam Breakfast 1kg,3,$38.00,$114.00
W-58238,07/10/2026,Wren & Sparrow Bookshop,B0710-1,TL-MC-1,Masala Chai 1kg,2,$41.00,$82.00
W-58239,07/10/2026,Meridian Title,B0710-1,TL-AB-1,Assam Breakfast 1kg,3,$38.00,$114.00
W-58239,07/10/2026,Meridian Title,B0710-1,TL-YG-1,Yunnan Gold 1kg,6,$58.00,$348.00
W-58239,07/10/2026,Meridian Title,B0710-1,TL-MC-1,Masala Chai 1kg,12,$41.00,$492.00
W-58240,07/10/2026,Zephyr Bike Works,B0710-1,TL-EG-1,Earl Grey Cream 1kg,6,$44.00,$264.00
W-58241,07/10/2026,Zephyr Bike Works,B0710-1,TL-YG-1,Yunnan Gold 1kg,5,$58.00,$290.00
W-58241,07/10/2026,Zephyr Bike Works,B0710-1,TL-EG-1,Earl Grey Cream 1kg,2,$44.00,$88.00
W-58242,07/10/2026,Larkspur Yoga,B0710-1,TL-EG-1,Earl Grey Cream 1kg,3,$44.00,$132.00
W-58243,07/11/2026,Harbor Light Marine,B0711-1,TL-EG-1,Earl Grey Cream 1kg,5,$44.00,$220.00
W-58243,07/11/2026,Harbor Light Marine,B0711-1,TL-SK-1,Sencha Kagoshima 1kg,10,$62.00,$620.00
W-58244,07/11/2026,Wren & Sparrow Bookshop,B0711-1,TL-AB-1,Assam Breakfast 1kg,6,$38.00,$228.00
W-58244,07/11/2026,Wren & Sparrow Bookshop,B0711-1,TL-MC-1,Masala Chai 1kg,3,$41.00,$123.00
W-58245,07/13/2026,Wren & Sparrow Bookshop,B0713-1,TL-EG-1,Earl Grey Cream 1kg,8,$44.00,$352.00
W-58246,07/13/2026,Zephyr Bike Works,B0713-1,TL-MC-1,Masala Chai 1kg,8,$41.00,$328.00
W-58246,07/13/2026,Zephyr Bike Works,B0713-1,TL-CB-1,Chamomile Blossom 1kg,8,$36.00,$288.00
W-58247,07/13/2026,Uptown Fitness,B0713-2,TL-CB-1,Chamomile Blossom 1kg,10,$36.00,$360.00
W-58248,07/13/2026,Blue Heron Consulting,B0713-2,TL-AB-1,Assam Breakfast 1kg,8,$38.00,$304.00
W-58248,07/13/2026,Blue Heron Consulting,B0713-2,TL-YG-1,Yunnan Gold 1kg,5,$58.00,$290.00
W-58249,07/13/2026,Uptown Fitness,B0713-2,TL-YG-1,Yunnan Gold 1kg,12,$58.00,$696.00
W-58249,07/13/2026,Uptown Fitness,B0713-2,TL-AB-1,Assam Breakfast 1kg,8,$38.00,$304.00
W-58249,07/13/2026,Uptown Fitness,B0713-2,TL-EG-1,Earl Grey Cream 1kg,12,$44.00,$528.00
W-58250,07/13/2026,Zephyr Bike Works,B0713-2,TL-SK-1,Sencha Kagoshima 1kg,12,$62.00,$744.00
W-58250,07/13/2026,Zephyr Bike Works,B0713-2,TL-AB-1,Assam Breakfast 1kg,5,$38.00,$190.00
W-58251,07/13/2026,Kestrel Analytics,B0713-2,TL-EG-1,Earl Grey Cream 1kg,12,$44.00,$528.00
W-58252,07/14/2026,Ellington Bakeries,B0714-1,TL-EG-1,Earl Grey Cream 1kg,2,$44.00,$88.00
W-58252,07/14/2026,Ellington Bakeries,B0714-1,TL-AB-1,Assam Breakfast 1kg,4,$38.00,$152.00
W-58253,07/14/2026,Umber Ceramics,B0714-1,TL-EG-1,Earl Grey Cream 1kg,4,$44.00,$176.00
W-58253,07/14/2026,Umber Ceramics,B0714-1,TL-AB-1,Assam Breakfast 1kg,4,$38.00,$152.00
W-58253,07/14/2026,Umber Ceramics,B0714-1,TL-YG-1,Yunnan Gold 1kg,6,$58.00,$348.00
W-58254,07/14/2026,Juniper Street Cafe,B0714-1,TL-SK-1,Sencha Kagoshima 1kg,2,$62.00,$124.00
W-58255,07/15/2026,Wren & Sparrow Bookshop,B0715-1,TL-MC-1,Masala Chai 1kg,4,$41.00,$164.00
W-58256,07/15/2026,Ivy Lane Florist,B0715-1,TL-EG-1,Earl Grey Cream 1kg,3,$44.00,$132.00
W-58257,07/15/2026,Blue Heron Consulting,B0715-1,TL-CB-1,Chamomile Blossom 1kg,8,$36.00,$288.00
W-58258,07/16/2026,Meridian Title,B0716-1,TL-MC-1,Masala Chai 1kg,6,$41.00,$246.00
W-58259,07/16/2026,Larkspur Yoga,B0716-1,TL-CB-1,Chamomile Blossom 1kg,5,$36.00,$180.00
W-58260,07/16/2026,Meridian Title,B0716-1,TL-SK-1,Sencha Kagoshima 1kg,2,$62.00,$124.00
W-58261,07/16/2026,Uptown Fitness,B0716-1,TL-SK-1,Sencha Kagoshima 1kg,5,$62.00,$310.00
W-58262,07/16/2026,Driftwood Studio,B0716-2,TL-YG-1,Yunnan Gold 1kg,12,$58.00,$696.00
W-58262,07/16/2026,Driftwood Studio,B0716-2,TL-AB-1,Assam Breakfast 1kg,12,$38.00,$456.00
W-58262,07/16/2026,Driftwood Studio,B0716-2,TL-MC-1,Masala Chai 1kg,8,$41.00,$328.00
W-58263,07/16/2026,Juniper Street Cafe,B0716-2,TL-EG-1,Earl Grey Cream 1kg,6,$44.00,$264.00
W-58264,07/16/2026,Wren & Sparrow Bookshop,B0716-2,TL-AB-1,Assam Breakfast 1kg,5,$38.00,$190.00
W-58264,07/16/2026,Wren & Sparrow Bookshop,B0716-2,TL-MC-1,Masala Chai 1kg,8,$41.00,$328.00
W-58265,07/16/2026,Meridian Title,B0716-2,TL-SK-1,Sencha Kagoshima 1kg,5,$62.00,$310.00
W-58265,07/16/2026,Meridian Title,B0716-2,TL-EG-1,Earl Grey Cream 1kg,5,$44.00,$220.00
W-58265,07/16/2026,Meridian Title,B0716-2,TL-MC-1,Masala Chai 1kg,2,$41.00,$82.00
W-58266,07/16/2026,Harbor Light Marine,B0716-2,TL-SK-1,Sencha Kagoshima 1kg,3,$62.00,$186.00
W-58266,07/16/2026,Harbor Light Marine,B0716-2,TL-MC-1,Masala Chai 1kg,3,$41.00,$123.00
W-58267,07/17/2026,Umber Ceramics,B0717-1,TL-MC-1,Masala Chai 1kg,2,$41.00,$82.00
W-58268,07/17/2026,Glassworks Optical,B0717-1,TL-EG-1,Earl Grey Cream 1kg,12,$44.00,$528.00
W-58268,07/17/2026,Glassworks Optical,B0717-1,TL-AB-1,Assam Breakfast 1kg,2,$38.00,$76.00
W-58269,07/17/2026,Umber Ceramics,B0717-1,TL-EG-1,Earl Grey Cream 1kg,10,$44.00,$440.00
W-58269,07/17/2026,Umber Ceramics,B0717-1,TL-AB-1,Assam Breakfast 1kg,6,$38.00,$228.00
W-58270,07/18/2026,Zephyr Bike Works,B0718-1,TL-YG-1,Yunnan Gold 1kg,12,$58.00,$696.00
W-58271,07/18/2026,Larkspur Yoga,B0718-1,TL-YG-1,Yunnan Gold 1kg,3,$58.00,$174.00
W-58271,07/18/2026,Larkspur Yoga,B0718-1,TL-EG-1,Earl Grey Cream 1kg,4,$44.00,$176.00
W-58272,07/20/2026,Juniper Street Cafe,B0720-1,TL-AB-1,Assam Breakfast 1kg,10,$38.00,$380.00
W-58272,07/20/2026,Juniper Street Cafe,B0720-1,TL-MC-1,Masala Chai 1kg,2,$41.00,$82.00
W-58273,07/20/2026,Glassworks Optical,B0720-1,TL-SK-1,Sencha Kagoshima 1kg,8,$62.00,$496.00
W-58273,07/20/2026,Glassworks Optical,B0720-1,TL-EG-1,Earl Grey Cream 1kg,10,$44.00,$440.00
W-58274,07/20/2026,Juniper Street Cafe,B0720-2,TL-CB-1,Chamomile Blossom 1kg,6,$36.00,$216.00
W-58274,07/20/2026,Juniper Street Cafe,B0720-2,TL-EG-1,Earl Grey Cream 1kg,4,$44.00,$176.00
