Name,Created at,Financial Status,Currency,Total
#1454,2026-01-01 14:01:25 -0500,paid,USD,45.09
#1455,2026-01-02 13:57:36 -0500,paid,USD,90.36
#1456,2026-01-03 09:55:01 -0500,paid,USD,89.23
#1457,2026-01-03 15:02:53 -0500,paid,USD,159.87
#1458,2026-01-04 12:33:53 -0500,paid,USD,80.63
#1459,2026-01-04 17:02:26 -0500,paid,USD,34.54
#1460,2026-01-06 15:33:10 -0500,paid,USD,118.56
#1461,2026-01-07 16:18:37 -0500,paid,USD,164.18
#1462,2026-01-07 17:51:36 -0500,paid,USD,136.71
#1463,2026-01-07 20:37:12 -0500,paid,USD,94.90
#1464,2026-01-08 07:49:12 -0500,paid,USD,101.70
#1465,2026-01-08 12:35:37 -0500,paid,USD,50.03
#1466,2026-01-08 19:26:42 -0500,paid,USD,48.91
#1467,2026-01-09 11:00:35 -0500,paid,USD,150.54
#1468,2026-01-10 09:54:04 -0500,paid,USD,68.69
#1469,2026-01-10 14:55:38 -0500,paid,USD,136.25
#1470,2026-01-11 19:57:18 -0500,paid,USD,26.61
#1471,2026-01-11 20:13:17 -0500,paid,USD,121.12
#1472,2026-01-12 20:22:00 -0500,paid,USD,101.54
#1473,2026-01-14 08:30:55 -0500,paid,USD,76.52
#1474,2026-01-14 13:16:06 -0500,paid,USD,60.50
#1475,2026-01-14 14:40:51 -0500,paid,USD,124.09
#1476,2026-01-15 14:33:41 -0500,paid,USD,28.42
#1477,2026-01-16 07:30:02 -0500,paid,USD,68.43
#1478,2026-01-16 10:01:19 -0500,paid,USD,79.66
#1479,2026-01-16 19:37:54 -0500,paid,USD,28.97
#1480,2026-01-17 15:23:21 -0500,paid,USD,73.00
#1481,2026-01-18 07:24:50 -0500,paid,USD,147.40
#1482,2026-01-18 13:32:26 -0500,paid,USD,93.83
#1483,2026-01-18 18:05:28 -0500,paid,USD,119.58
#1484,2026-01-20 12:22:18 -0500,paid,USD,34.01
#1485,2026-01-20 17:29:38 -0500,paid,USD,28.03
#1486,2026-01-21 16:29:44 -0500,paid,USD,70.37
#1487,2026-01-22 14:48:29 -0500,paid,USD,161.12
#1488,2026-01-22 17:42:40 -0500,paid,USD,85.39
#1489,2026-01-23 22:08:37 -0500,paid,USD,103.37
#1490,2026-01-24 08:05:08 -0500,paid,USD,48.44
#1491,2026-01-24 12:28:45 -0500,paid,USD,96.91
#1492,2026-01-24 13:38:27 -0500,paid,USD,141.65
#1493,2026-01-24 16:08:13 -0500,paid,USD,150.08
#1494,2026-01-24 20:32:53 -0500,paid,USD,155.07
#1495,2026-01-25 15:15:17 -0500,paid,USD,39.77
#1496,2026-01-27 08:24:12 -0500,paid,USD,73.96
#1497,2026-01-27 19:59:35 -0500,paid,USD,73.51
#1498,2026-01-28 14:25:32 -0500,paid,USD,73.51
#1499,2026-01-28 16:07:47 -0500,paid,USD,71.91
#1500,2026-01-28 18:29:58 -0500,paid,USD,62.78
#1501,2026-01-28 19:41:10 -0500,paid,USD,48.28
#1502,2026-01-29 22:49:34 -0500,paid,USD,57.79
#1503,2026-01-30 07:26:53 -0500,paid,USD,155.94
#1504,2026-01-30 10:11:40 -0500,paid,USD,166.93
#1505,2026-01-30 13:17:48 -0500,paid,USD,71.84
#1506,2026-01-31 11:33:49 -0500,paid,USD,104.84
#1507,2026-01-31 16:47:10 -0500,paid,USD,83.93
#1508,2026-01-31 19:18:32 -0500,paid,USD,95.97
#1509,2026-02-02 17:11:20 -0500,paid,USD,138.15
#1510,2026-02-03 09:01:40 -0500,paid,USD,25.43
#1511,2026-02-03 09:58:20 -0500,paid,USD,163.65
#1512,2026-02-03 12:11:49 -0500,paid,USD,45.54
#1513,2026-02-03 14:31:00 -0500,paid,USD,49.57
#1514,2026-02-03 15:05:48 -0500,paid,USD,88.50
#1515,2026-02-03 18:10:32 -0500,paid,USD,134.31
#1516,2026-02-05 10:32:49 -0500,paid,USD,138.48
#1517,2026-02-05 11:08:16 -0500,paid,USD,165.58
#1518,2026-02-05 17:19:06 -0500,paid,USD,126.14
#1519,2026-02-06 08:45:55 -0500,paid,USD,120.16
#1520,2026-02-07 08:31:43 -0500,paid,USD,80.68
#1521,2026-02-07 16:19:44 -0500,paid,USD,67.14
#1522,2026-02-07 17:02:01 -0500,paid,USD,25.51
#1523,2026-02-08 14:20:31 -0500,paid,USD,122.92
#1524,2026-02-08 19:04:17 -0500,paid,USD,103.37
#1525,2026-02-08 20:21:35 -0500,paid,USD,112.03
#1526,2026-02-09 09:43:28 -0500,paid,USD,140.39
#1527,2026-02-09 19:36:25 -0500,paid,USD,48.79
#1528,2026-02-09 22:01:50 -0500,paid,USD,117.09
#1529,2026-02-10 15:45:30 -0500,paid,USD,69.28
#1530,2026-02-10 17:28:25 -0500,paid,USD,69.11
#1531,2026-02-11 21:59:43 -0500,paid,USD,116.03
#1532,2026-02-14 07:03:44 -0500,paid,USD,75.11
#1533,2026-02-14 19:51:34 -0500,paid,USD,154.93
#1534,2026-02-15 07:25:53 -0500,paid,USD,72.77
#1535,2026-02-15 09:54:07 -0500,paid,USD,153.11
#1536,2026-02-15 10:16:13 -0500,paid,USD,137.06
#1537,2026-02-17 19:11:09 -0500,paid,USD,60.09
#1538,2026-02-18 08:33:05 -0500,paid,USD,140.34
#1539,2026-02-18 08:49:20 -0500,paid,USD,142.23
#1540,2026-02-18 13:19:12 -0500,paid,USD,59.48
#1541,2026-02-18 15:34:28 -0500,paid,USD,146.59
#1542,2026-02-18 18:10:44 -0500,paid,USD,124.98
#1543,2026-02-19 09:17:23 -0500,paid,USD,152.27
#1544,2026-02-19 10:29:57 -0500,paid,USD,63.91
#1545,2026-02-19 16:15:21 -0500,paid,USD,38.54
#1546,2026-02-19 20:10:07 -0500,paid,USD,88.93
#1547,2026-02-20 09:15:14 -0500,paid,USD,26.93
#1548,2026-02-20 13:11:19 -0500,paid,USD,86.30
#1549,2026-02-21 17:14:24 -0500,paid,USD,163.19
#1550,2026-02-21 18:24:32 -0500,paid,USD,145.75
#1551,2026-02-22 07:05:26 -0500,paid,USD,40.57
#1552,2026-02-22 14:10:47 -0500,paid,USD,145.68
#1553,2026-02-24 15:41:14 -0500,paid,USD,30.94
#1554,2026-02-25 18:31:30 -0500,paid,USD,148.22
#1555,2026-02-25 22:42:22 -0500,paid,USD,61.31
#1556,2026-02-26 08:12:15 -0500,paid,USD,137.11
#1557,2026-02-26 08:52:18 -0500,paid,USD,25.78
#1558,2026-02-26 19:04:36 -0500,paid,USD,103.24
#1559,2026-02-27 11:21:07 -0500,paid,USD,112.59
#1560,2026-02-27 16:08:57 -0500,paid,USD,53.77
#1561,2026-03-01 07:40:38 -0500,paid,USD,58.88
#1562,2026-03-01 13:43:02 -0500,paid,USD,95.20
#1563,2026-03-02 12:19:41 -0500,paid,USD,129.85
#1564,2026-03-03 08:00:51 -0500,paid,USD,24.75
#1565,2026-03-04 12:02:03 -0500,paid,USD,140.56
#1566,2026-03-04 12:06:14 -0500,paid,USD,81.56
#1567,2026-03-04 13:45:43 -0500,paid,USD,67.99
#1568,2026-03-04 14:25:20 -0500,paid,USD,94.90
#1569,2026-03-04 15:47:58 -0500,paid,USD,36.06
#1570,2026-03-05 09:28:54 -0500,paid,USD,157.10
#1571,2026-03-05 21:53:16 -0500,paid,USD,93.77
#1572,2026-03-06 09:25:40 -0500,paid,USD,123.20
#1573,2026-03-06 11:49:08 -0500,paid,USD,152.72
#1574,2026-03-06 17:28:08 -0500,paid,USD,113.63
#1575,2026-03-06 18:31:26 -0500,paid,USD,147.22
#1576,2026-03-07 15:19:37 -0500,paid,USD,133.07
#1577,2026-03-07 18:33:00 -0500,paid,USD,121.71
#1578,2026-03-08 14:52:18 -0400,paid,USD,90.61
#1579,2026-03-09 13:11:18 -0400,paid,USD,45.37
#1580,2026-03-10 10:57:51 -0400,paid,USD,27.48
#1581,2026-03-10 12:28:39 -0400,paid,USD,120.31
#1582,2026-03-10 13:25:10 -0400,paid,USD,150.72
#1583,2026-03-11 22:37:07 -0400,paid,USD,154.97
#1584,2026-03-13 07:12:33 -0400,paid,USD,87.18
#1585,2026-03-13 11:56:42 -0400,paid,USD,102.13
#1586,2026-03-13 13:35:00 -0400,paid,USD,167.26
#1587,2026-03-13 19:11:30 -0400,paid,USD,137.73
#1588,2026-03-14 10:42:18 -0400,paid,USD,63.98
#1589,2026-03-15 07:10:32 -0400,paid,USD,126.28
#1590,2026-03-15 08:17:32 -0400,paid,USD,38.20
#1591,2026-03-15 18:19:34 -0400,paid,USD,81.51
#1592,2026-03-15 18:19:48 -0400,paid,USD,81.71
#1593,2026-03-16 13:07:27 -0400,paid,USD,110.50
#1594,2026-03-16 17:56:24 -0400,paid,USD,146.10
#1595,2026-03-16 21:24:48 -0400,paid,USD,48.28
#1596,2026-03-17 20:59:47 -0400,paid,USD,126.55
#1597,2026-03-17 21:21:42 -0400,paid,USD,144.65
#1598,2026-03-19 07:34:18 -0400,paid,USD,162.95
#1599,2026-03-19 09:31:47 -0400,paid,USD,59.66
#1600,2026-03-19 19:13:28 -0400,paid,USD,126.95
#1601,2026-03-19 19:16:08 -0400,paid,USD,35.45
#1602,2026-03-19 20:04:22 -0400,paid,USD,33.65
#1603,2026-03-19 20:25:21 -0400,paid,USD,148.02
#1604,2026-03-20 14:54:42 -0400,paid,USD,28.40
#1605,2026-03-20 16:13:33 -0400,paid,USD,53.91
#1606,2026-03-21 11:40:49 -0400,paid,USD,158.94
#1607,2026-03-21 12:55:37 -0400,paid,USD,87.88
#1608,2026-03-21 13:59:29 -0400,paid,USD,110.52
#1609,2026-03-21 16:57:00 -0400,paid,USD,29.11
#1610,2026-03-23 20:55:43 -0400,paid,USD,102.37
#1611,2026-03-25 11:04:32 -0400,paid,USD,77.82
#1612,2026-03-25 11:50:58 -0400,paid,USD,28.39
#1613,2026-03-25 13:36:56 -0400,paid,USD,79.19
#1614,2026-03-25 14:50:17 -0400,paid,USD,51.35
#1615,2026-03-25 17:00:07 -0400,paid,USD,87.69
#1616,2026-03-26 15:54:11 -0400,paid,USD,134.52
#1617,2026-03-26 16:27:32 -0400,paid,USD,121.53
#1618,2026-03-26 22:07:41 -0400,paid,USD,156.16
#1619,2026-03-27 07:22:58 -0400,paid,USD,62.10
#1620,2026-03-27 15:22:39 -0400,paid,USD,130.54
#1621,2026-03-27 18:29:32 -0400,paid,USD,104.30
#1622,2026-03-27 21:50:55 -0400,paid,USD,140.45
#1623,2026-03-28 17:45:14 -0400,paid,USD,61.26
#1624,2026-03-28 19:51:57 -0400,paid,USD,86.34
#1625,2026-03-29 17:17:04 -0400,paid,USD,34.78
#1626,2026-03-29 19:20:59 -0400,paid,USD,86.17
#1627,2026-03-30 11:38:16 -0400,paid,USD,90.15
#1628,2026-03-31 16:40:01 -0400,paid,USD,82.61
#1629,2026-04-01 10:09:20 -0400,paid,USD,155.68
#1630,2026-04-02 19:03:46 -0400,paid,USD,61.59
#1631,2026-04-03 08:19:52 -0400,paid,USD,139.05
#1632,2026-04-03 09:54:04 -0400,paid,USD,138.37
#1633,2026-04-03 15:51:20 -0400,paid,USD,36.35
#1634,2026-04-04 16:06:27 -0400,paid,USD,145.16
#1635,2026-04-04 20:05:12 -0400,paid,USD,27.98
#1636,2026-04-05 08:58:13 -0400,paid,USD,147.06
#1637,2026-04-05 21:33:35 -0400,paid,USD,127.59
#1638,2026-04-06 18:27:38 -0400,paid,USD,124.52
#1639,2026-04-07 12:32:55 -0400,paid,USD,86.22
#1640,2026-04-08 08:37:59 -0400,paid,USD,137.47
#1641,2026-04-08 11:58:07 -0400,paid,USD,50.58
#1642,2026-04-09 17:47:47 -0400,paid,USD,98.89
#1643,2026-04-09 22:29:58 -0400,paid,USD,76.44
#1644,2026-04-11 08:08:34 -0400,paid,USD,28.78
#1645,2026-04-11 10:26:22 -0400,paid,USD,42.20
#1646,2026-04-11 17:36:04 -0400,paid,USD,89.06
#1647,2026-04-13 16:29:38 -0400,paid,USD,165.08
#1648,2026-04-14 08:51:06 -0400,paid,USD,164.92
#1649,2026-04-16 14:27:28 -0400,paid,USD,121.29
#1650,2026-04-17 11:02:59 -0400,paid,USD,63.40
#1651,2026-04-17 13:21:59 -0400,paid,USD,72.77
#1652,2026-04-18 12:01:09 -0400,paid,USD,60.02
#1653,2026-04-18 13:45:56 -0400,paid,USD,101.24
#1654,2026-04-18 13:51:30 -0400,paid,USD,128.52
#1655,2026-04-18 17:26:19 -0400,paid,USD,69.91
#1656,2026-04-19 15:50:15 -0400,paid,USD,125.22
#1657,2026-04-19 18:57:54 -0400,paid,USD,94.08
#1658,2026-04-21 08:57:22 -0400,paid,USD,102.76
#1659,2026-04-21 11:47:17 -0400,paid,USD,122.90
#1660,2026-04-21 15:16:41 -0400,paid,USD,115.53
#1661,2026-04-22 11:57:25 -0400,paid,USD,133.93
#1662,2026-04-22 15:45:06 -0400,paid,USD,53.43
#1663,2026-04-24 09:16:11 -0400,paid,USD,164.60
#1664,2026-04-24 11:16:50 -0400,paid,USD,78.75
#1665,2026-04-24 12:12:23 -0400,paid,USD,80.05
#1666,2026-04-24 17:23:51 -0400,paid,USD,116.66
#1667,2026-04-24 19:52:56 -0400,paid,USD,157.26
#1668,2026-04-26 16:14:57 -0400,paid,USD,52.86
#1669,2026-04-26 19:57:37 -0400,paid,USD,93.29
#1670,2026-04-27 07:57:53 -0400,paid,USD,166.72
#1671,2026-04-27 15:26:12 -0400,paid,USD,25.19
#1672,2026-04-27 22:32:23 -0400,paid,USD,38.30
#1673,2026-04-28 08:03:40 -0400,paid,USD,37.14
#1674,2026-04-28 13:42:28 -0400,paid,USD,80.12
#1675,2026-04-29 21:01:47 -0400,paid,USD,99.53
#1676,2026-04-30 08:08:03 -0400,paid,USD,99.41
#1677,2026-04-30 09:45:17 -0400,paid,USD,131.03
#1678,2026-05-01 09:27:39 -0400,paid,USD,161.49
#1679,2026-05-02 13:34:27 -0400,paid,USD,73.93
#1680,2026-05-02 18:01:05 -0400,paid,USD,44.02
#1681,2026-05-03 19:07:42 -0400,paid,USD,88.41
#1682,2026-05-04 15:09:30 -0400,paid,USD,135.56
#1683,2026-05-04 15:57:49 -0400,paid,USD,44.63
#1684,2026-05-04 16:20:15 -0400,paid,USD,62.78
#1685,2026-05-04 19:41:46 -0400,paid,USD,50.99
#1686,2026-05-05 12:16:40 -0400,paid,USD,25.38
#1687,2026-05-05 13:09:14 -0400,paid,USD,129.14
#1688,2026-05-05 20:17:17 -0400,paid,USD,93.14
#1689,2026-05-06 15:23:54 -0400,paid,USD,42.31
#1690,2026-05-07 20:35:40 -0400,paid,USD,110.18
#1691,2026-05-08 10:43:21 -0400,paid,USD,63.40
#1692,2026-05-08 13:32:36 -0400,paid,USD,119.03
#1693,2026-05-09 08:34:40 -0400,paid,USD,87.40
#1694,2026-05-09 14:05:40 -0400,paid,USD,101.59
#1695,2026-05-10 15:31:13 -0400,paid,USD,95.82
#1696,2026-05-10 20:20:00 -0400,paid,USD,135.43
#1697,2026-05-10 20:44:17 -0400,paid,USD,86.42
#1698,2026-05-11 10:08:56 -0400,paid,USD,44.18
#1699,2026-05-13 07:07:21 -0400,paid,USD,73.97
#1700,2026-05-13 18:59:46 -0400,paid,USD,115.93
#1701,2026-05-13 20:02:22 -0400,paid,USD,146.56
#1702,2026-05-14 08:23:26 -0400,paid,USD,81.91
#1703,2026-05-15 07:12:19 -0400,paid,USD,124.22
#1704,2026-05-15 11:03:32 -0400,paid,USD,70.94
#1705,2026-05-15 16:08:32 -0400,paid,USD,87.96
#1706,2026-05-16 08:50:13 -0400,paid,USD,121.46
#1707,2026-05-16 18:09:26 -0400,paid,USD,45.35
#1708,2026-05-17 17:07:22 -0400,paid,USD,156.96
#1709,2026-05-17 17:49:34 -0400,paid,USD,116.89
#1710,2026-05-18 16:33:26 -0400,paid,USD,102.05
#1711,2026-05-19 08:22:04 -0400,paid,USD,37.22
#1712,2026-05-20 22:15:21 -0400,paid,USD,49.37
#1713,2026-05-21 07:34:07 -0400,paid,USD,142.35
#1714,2026-05-22 22:57:25 -0400,paid,USD,40.73
#1715,2026-05-23 08:36:11 -0400,paid,USD,122.61
#1716,2026-05-23 11:41:48 -0400,paid,USD,140.92
#1717,2026-05-23 14:26:09 -0400,paid,USD,42.75
#1718,2026-05-24 14:17:43 -0400,paid,USD,114.09
#1719,2026-05-24 16:55:31 -0400,paid,USD,115.25
#1720,2026-05-24 18:59:56 -0400,paid,USD,163.49
#1721,2026-05-25 10:14:32 -0400,paid,USD,63.54
#1722,2026-05-25 12:47:56 -0400,paid,USD,107.60
#1723,2026-05-25 17:24:29 -0400,paid,USD,139.71
#1724,2026-05-25 19:32:56 -0400,paid,USD,94.14
#1725,2026-05-25 22:13:45 -0400,paid,USD,143.47
#1726,2026-05-26 11:38:59 -0400,paid,USD,149.34
#1727,2026-05-26 13:50:48 -0400,paid,USD,113.79
#1728,2026-05-26 16:26:16 -0400,paid,USD,159.22
#1729,2026-05-26 18:40:47 -0400,paid,USD,146.72
#1730,2026-05-27 10:16:43 -0400,paid,USD,64.14
#1731,2026-05-27 16:52:39 -0400,paid,USD,55.72
#1732,2026-05-27 20:38:40 -0400,paid,USD,107.67
#1733,2026-05-28 07:24:17 -0400,paid,USD,90.87
#1734,2026-05-28 17:17:38 -0400,paid,USD,127.50
#1735,2026-05-28 22:06:00 -0400,paid,USD,133.12
#1736,2026-05-28 22:06:09 -0400,paid,USD,79.64
#1737,2026-05-29 13:10:33 -0400,paid,USD,61.10
#1738,2026-05-29 13:20:39 -0400,paid,USD,95.10
#1739,2026-05-30 07:57:05 -0400,paid,USD,157.22
#1740,2026-05-31 08:34:53 -0400,paid,USD,111.69
#1741,2026-05-31 10:47:35 -0400,paid,USD,121.79
#1742,2026-05-31 19:45:27 -0400,paid,USD,37.16
#1743,2026-06-01 07:54:19 -0400,paid,USD,91.17
#1744,2026-06-01 09:11:29 -0400,paid,USD,134.32
#1745,2026-06-01 14:27:58 -0400,paid,USD,46.88
#1746,2026-06-02 07:51:02 -0400,paid,USD,143.77
#1747,2026-06-02 17:43:07 -0400,paid,USD,152.36
#1748,2026-06-03 22:36:26 -0400,paid,USD,101.15
#1749,2026-06-04 07:30:57 -0400,paid,USD,54.13
#1750,2026-06-04 08:24:05 -0400,paid,USD,104.63
#1751,2026-06-04 18:04:41 -0400,paid,USD,164.76
#1752,2026-06-04 22:59:17 -0400,paid,USD,144.92
#1753,2026-06-05 07:24:26 -0400,paid,USD,39.69
#1754,2026-06-05 11:04:58 -0400,paid,USD,107.42
#1755,2026-06-05 19:53:28 -0400,paid,USD,82.41
#1756,2026-06-06 14:13:57 -0400,paid,USD,86.58
#1757,2026-06-06 17:42:15 -0400,paid,USD,34.95
#1758,2026-06-06 22:57:21 -0400,paid,USD,133.08
#1759,2026-06-08 13:04:51 -0400,paid,USD,107.43
#1760,2026-06-08 14:06:35 -0400,paid,USD,161.08
#1761,2026-06-08 17:21:42 -0400,paid,USD,59.30
#1762,2026-06-09 08:39:27 -0400,paid,USD,83.75
#1763,2026-06-09 12:49:46 -0400,paid,USD,113.57
#1764,2026-06-09 15:22:24 -0400,paid,USD,64.20
#1765,2026-06-09 18:59:09 -0400,paid,USD,61.36
#1766,2026-06-12 07:39:19 -0400,paid,USD,88.15
#1767,2026-06-12 16:48:52 -0400,paid,USD,73.14
#1768,2026-06-13 16:57:14 -0400,paid,USD,115.11
#1769,2026-06-13 21:03:06 -0400,paid,USD,91.79
#1770,2026-06-15 07:09:08 -0400,paid,USD,162.07
#1771,2026-06-17 10:16:01 -0400,paid,USD,90.88
#1772,2026-06-17 13:27:15 -0400,paid,USD,138.39
#1773,2026-06-17 15:30:08 -0400,paid,USD,82.07
#1774,2026-06-17 20:35:10 -0400,paid,USD,124.64
#1775,2026-06-18 07:16:34 -0400,paid,USD,63.01
#1776,2026-06-18 11:03:38 -0400,paid,USD,97.23
#1777,2026-06-18 12:11:24 -0400,paid,USD,108.29
#1778,2026-06-18 15:50:36 -0400,paid,USD,154.90
