Fennel Hollow Soapworks - stock on hand
Exported 09/12/2026 4:07 PM by marta
Bin,SKU,Item,Status,On hand,Count unit,Reorder at,Reorder unit,Unit cost,Cost per
A-1,FH-BP177,Beeswax pellets,Archived,0.4,kg,10,kg,7.60,kg
A-1,FH-SAO163,SWEET ALMOND OIL,Active,14.3,kg,5,kg,9.00,kg
A-3,FH-EEO198,EUCALYPTUS ESSENTIAL OIL,Active,300,ml,1,L,71.50,L
A-3,FH-WW268,Wooden wicks,Archived,33,each,200,each,1.56,each
A-4,FH-CB170,COCOA BUTTER,Active,17.1,kg,8,kg,20.80,kg
A-6,FH-AO142, Avocado oil,Active,"13,100",g,10,kg,20.90,kg
A-6,FH-KC100,Kaolin clay,Active,"5,000",g,5,kg,10.80,kg
A-6,FH-PEO191,PEPPERMINT ESSENTIAL OIL,Active,2.9,L,250,ml,97.70,L
A-6,FH-VG233,VEGETABLE GLYCERIN,Active,"1,700",ml,500,ml,97.10,L
B-1,FH-JL247,Jar labels,Active,"1,000",each,"1,500",each,385.00,roll of 500
B-2,FH-COR114,Coconut oil refined,Active,3.3,kg,6,kg,14.10,kg
B-2,FH-KSB275,Kraft soap boxes,Active,500,each,200,each,90.00,pack of 100
B-6,FH-ES156, Epsom salt,Active,8.8,kg,8,kg,18.40,kg
B-6,FH-SA184,STEARIC ACID,Active,12.4,kg,6,kg,8.90,kg
C-1,FH-CW240,Cotton wicks,Active,100,each,100,each,1.87,each
C-1,FH-SHL128,sodium hydroxide lye,Active,"7,700",g,2,kg,16.80,kg
C-2,FH-AGJ261,Amber glass jars,Active,144,each,48,each,10.32,case of 24
C-2,FH-RBO135, Rice bran oil,Active,"3,100",g,2,kg,21.20,kg
C-3,FH-LEO205,Lavender essential oil,Active,"2,300",ml,500,ml,28.30,L
C-4,FH-CO149,Colloidal oatmeal,Active,"15,600",g,10,kg,19.90,kg
C-6,FH-CT282,candle tins,Active,288,each,96,each,21.12,case of 48
C-6,FH-MSB254,muslin soap bags,Active,400,each,100,each,13.50,pack of 50
D-1,FH-WHE212,Witch hazel extract,Active,7.5,L,3,L,65.60,L
D-2,FH-CFO219, Cedarwood fragrance oil,Active,6.7,L,5,L,118.10,L
D-5,FH-CO121, Castor oil,Active,10.3,kg,10,kg,9.40,kg
D-5,FH-VBF226,VANILLA BEAN FRAGRANCE OIL,Archived,100,ml,"1,000",ml,129.50,L
D-6,FH-AC107,Activated charcoal,Active,"4,400",g,6,kg,8.00,kg
