vendor,ref,date,terms,due,days_past_due,open,bucket
Barrel & Stave Cooperage,BSC-20648,2026-03-12,Net 60,2026-05-11,112,7420.00,Over 90
Label Lab Printing,LL-20570,2026-04-20,Net 15,2026-05-05,118,1865.40,Over 90
Cedar Ridge Electric,CRE-20538,2026-05-24,Due on receipt,2026-05-24,99,1079.27,Over 90
Summit Gas & Welding Supply,SGW-20249,2026-05-24,Net 30,2026-06-23,69,613.45,61-90
Pacific Corrugated Box,PCB-20678,2026-05-25,Net 30,2026-06-24,68,2887.94,61-90
Brightline Pest Control,BPC-20630,2026-05-27,Net 15,2026-06-11,81,126.02,61-90
Brightline Pest Control,BPC-20602,2026-05-29,Net 15,2026-06-13,79,188.80,61-90
Barrel & Stave Cooperage,BSC-20772,2026-05-30,Net 60,2026-07-29,33,2237.84,31-60
Northline Freight,NLF-20426,2026-05-30,Net 45,2026-07-14,48,1730.97,31-60
Northline Freight,NLF-20389,2026-05-31,Net 45,2026-07-15,47,1025.01,31-60
Orchard Valley Fruit Co.,OVF-20545,2026-06-01,Net 30 EOM,2026-07-30,32,6135.50,31-60
Pacific Corrugated Box,PCB-20641,2026-06-01,Net 30,2026-07-01,61,2792.73,61-90
Brightline Pest Control,BPC-20663,2026-06-14,Net 15,2026-06-29,63,132.72,61-90
Barrel & Stave Cooperage,BSC-20732,2026-06-16,Net 60,2026-08-15,16,8128.25,1-30
Label Lab Printing,LL-20646,2026-06-17,Net 15,2026-07-02,60,909.73,31-60
Barrel & Stave Cooperage,BSC-20789,2026-06-20,Net 60,2026-08-19,12,2503.74,1-30
Hopkins Family Pears,HFP-20421,2026-06-22,Net 30,2026-07-22,40,1890.00,31-60
Orchard Valley Fruit Co.,OVF-20578,2026-06-28,Net 30 EOM,2026-07-30,32,1295.05,31-60
Cascade Glass Packaging,CGP-20896,2026-06-29,2% 10 Net 30,2026-07-29,33,4570.00,31-60
Cedar Ridge Electric,CRE-20524,2026-07-09,Due on receipt,2026-07-09,53,400.82,31-60
Pacific Corrugated Box,PCB-20618,2026-07-10,Net 60,2026-09-08,-8,2960.00,Current
Orchard Valley Fruit Co.,OVF-20510,2026-07-14,Net 30 EOM,2026-08-30,1,8240.00,1-30
Label Lab Printing,LL-20681,2026-07-16,Net 15,2026-07-31,31,582.50,31-60
Hopkins Family Pears,HFP-20425,2026-07-20,Net 30,2026-08-19,12,1594.90,1-30
Label Lab Printing,LL-20691,2026-07-21,Net 15,2026-08-05,26,622.11,1-30
Hopkins Family Pears,HFP-20432,2026-07-28,Net 30,2026-08-27,4,1152.27,1-30
Summit Gas & Welding Supply,SGW-20179,2026-07-28,Net 30,2026-08-27,4,310.37,1-30
Cascade Glass Packaging,CGP-20899,2026-07-29,2% 10 Net 30,2026-08-28,3,2981.58,1-30
Orchard Valley Fruit Co.,OVF-20613,2026-07-29,Net 30 EOM,2026-08-30,1,5616.08,1-30
Orchard Valley Fruit Co.,OVF-20594,2026-07-30,Net 30 EOM,2026-08-30,1,2605.61,1-30
Summit Gas & Welding Supply,SGW-20216,2026-08-01,Net 30,2026-08-31,0,339.16,Current
Barrel & Stave Cooperage,BSC-20757,2026-08-02,Net 60,2026-10-01,-31,4161.35,Current
Summit Gas & Welding Supply,SGW-20202,2026-08-03,Net 30,2026-09-02,-2,186.43,Current
Pacific Corrugated Box,PCB-20717,2026-08-05,Net 30,2026-09-04,-4,1879.24,Current
Cascade Glass Packaging,CGP-20917,2026-08-06,2% 10 Net 30,2026-09-05,-5,3766.60,Current
Cascade Glass Packaging,CGP-20887,2026-08-10,2% 10 Net 30,2026-09-09,-9,4380.00,Current
Barrel & Stave Cooperage,BSC-20703,2026-08-18,Net 60,2026-10-17,-47,5757.27,Current
Label Lab Printing,LL-20609,2026-08-18,Net 15,2026-09-02,-2,2312.45,Current
Pacific Corrugated Box,PCB-20624,2026-08-29,Net 30,2026-09-28,-28,1077.35,Current
Northline Freight,VC-1190,2026-08-06,credit,,0,-385.00,Current
Summit Gas & Welding Supply,VC-1194,2026-08-14,credit,,0,-212.50,Current
