customer_id,first_order,last_order,orders,lifetime_value
7302904003,2025-06-21,2026-04-27,2,177.50
7303057825,2024-11-02,2026-08-24,6,362.40
7304884456,2024-01-11,2025-11-12,4,108.90
7305186383,2024-03-13,2025-02-07,3,143.95
7308198675,2025-08-08,2025-08-08,1,84.00
7315721498,2024-08-18,2026-02-06,6,317.30
7315732041,2025-02-04,2025-10-29,2,125.00
7316065254,2025-02-09,2026-04-02,2,63.00
7316628927,2024-01-08,2025-02-18,3,199.00
7317762948,2024-08-15,2026-04-12,6,341.85
7319643903,2024-09-03,2025-11-28,3,189.50
7321234402,2025-01-05,2025-02-21,2,311.50
7322739785,2024-02-05,2026-08-12,8,458.45
7323463874,2024-05-05,2025-08-09,3,131.69
7324826513,2024-01-09,2026-05-25,3,193.62
7326117555,2024-01-11,2025-06-03,2,57.00
7328883828,2024-06-18,2026-08-05,5,333.95
7329589712,2024-06-13,2026-07-21,5,344.95
7331608507,2024-02-17,2026-06-20,8,464.95
7333646685,2024-07-15,2026-08-15,6,447.40
7334914494,2024-03-31,2025-04-02,6,557.09
7336938170,2024-05-24,2025-08-17,4,219.40
7336994985,2025-05-06,2026-08-18,2,162.95
7340407795,2024-09-18,2025-10-16,4,343.60
7341801574,2024-07-31,2026-01-19,3,153.45
7344999241,2024-01-14,2026-05-22,5,309.95
7345085956,2026-03-11,2026-08-02,3,201.95
7352507238,2024-11-22,2025-01-08,2,261.00
7357125592,2025-02-08,2026-08-06,2,64.95
7357194352,2024-08-09,2026-06-16,4,238.45
7360473556,2024-09-24,2024-09-24,1,104.00
7361465572,2024-02-06,2025-08-26,3,163.13
7363300491,2024-06-28,2026-01-10,5,250.08
7364321652,2025-02-11,2026-06-14,4,278.47
7365289435,2024-01-17,2025-05-29,3,375.50
7366123086,2024-05-26,2024-11-27,2,77.50
7370033481,2024-01-11,2026-08-12,8,709.95
7373057326,2024-08-01,2025-06-11,4,439.95
7375242487,2024-02-11,2026-07-23,4,146.45
7376385018,2024-08-02,2026-02-26,3,175.45
7377303096,2024-01-12,2024-07-21,3,237.00
7378795832,2025-05-14,2026-06-26,7,454.95
7380058851,2024-02-08,2025-08-20,4,274.95
7380099984,2025-12-11,2025-12-11,1,44.45
7381891021,2024-01-09,2026-03-19,6,335.17
7383295518,2024-11-28,2026-04-23,4,153.00
7384576944,2025-03-19,2026-08-15,2,199.50
7385060196,2024-02-24,2026-02-28,6,371.28
7388263752,2024-03-28,2026-08-14,8,700.50
7391096787,2024-12-08,2026-08-23,4,348.70
7391180437,2024-04-03,2026-08-10,5,240.45
7394668208,2025-03-07,2026-01-27,2,68.00
7396383539,2024-09-04,2026-02-07,5,394.95
