Holiday,Date,Observed,Notes
New Year's Day,2026-01-01,,
Martin Luther King Jr. Day,"January 19, 2026",,
Presidents' Day,2026-02-16,,
Memorial Day,"May 25, 2026",,
Juneteenth,06/19/2026,,
Independence Day,"July 04, 2026",07/03/2026,Office closed Friday
Labor Day,09/07/2026,,
Thanksgiving,Nov 26 2026,,
Day after Thanksgiving,2026-11-27,,
Christmas Eve,Dec 24 2026,,
Christmas Day,12/25/26,,
New Year's Eve,12/31/2026,,
New Year's Day,01/01/27,,
Martin Luther King Jr. Day,01/18/2027,,
Presidents' Day,2027-02-15,,
Memorial Day,05/31/27,,
Juneteenth,"June 19, 2027",06/18/2027,Office closed Friday
Independence Day,Jul 04 2027,07/05/2027,Office closed Monday
Labor Day,Sep 06 2027,,
Thanksgiving,Nov 25 2027,,
Day after Thanksgiving,11/26/2027,,
Christmas Eve,12/24/2027,12/23/2027,Office closed Monday
Christmas Day,25-Dec-2027,12/24/2027,Office closed Friday
New Year's Eve,31-Dec-2027,,
